species	rate_e_mean	rate_e_lower	rate_e_upper
Atelerix frontalis	0.00004118	0.00002881	0.00005388
Atelerix sclateri	0.00003692	0.00002555	0.00004890
Ateles belzebuth	0.00033773	0.00030171	0.00037496
Ateles chamek	0.00033904	0.00030366	0.00037552
Ateles fusciceps	0.00136993	0.00129498	0.00144166
Ateles geoffroyi	0.00036835	0.00032968	0.00040620
Ateles hybridus	0.00134038	0.00126786	0.00141487
Ateles marginatus	0.00034652	0.00030967	0.00038265
Ateles paniscus	0.00022319	0.00019390	0.00025311
Atelocynus microtis	0.00016029	0.00013532	0.00018481
Atherurus africanus	0.00003440	0.00002321	0.00004622
Atherurus macrourus	0.00004817	0.00003484	0.00006200
Atilax paludinosus	0.00003504	0.00002299	0.00004676
Atlantoxerus getulus	0.00003305	0.00002269	0.00004502
Atopogale cubana	0.00038445	0.00034597	0.00042434
Auliscomys boliviensis	0.00003814	0.00002684	0.00005080
Auliscomys pictus	0.00003025	0.00002011	0.00004163
Auliscomys sublimis	0.00003815	0.00002704	0.00005089
Austronomus australis	0.00003830	0.00002684	0.00005093
Austronomus kuboriensis	0.00002801	0.00001802	0.00003850
Avahi betsileo	0.00034249	0.00030778	0.00038048
Avahi cleesei	0.00035856	0.00032160	0.00039720
Avahi laniger	0.00019644	0.00016980	0.00022492
Avahi meridionalis	0.00034516	0.00030977	0.00038203
Avahi mooreorum	0.00032601	0.00029241	0.00036227
Avahi occidentalis	0.00032749	0.00029144	0.00036235
Avahi peyrierasi	0.00021183	0.00018230	0.00023946
Avahi ramanantsoavanai	0.00021282	0.00018379	0.00024095
Avahi unicolor	0.00033079	0.00029535	0.00036726
Axis axis	0.00003112	0.00002024	0.00004190
Axis calamianensis	0.00035782	0.00032101	0.00039526
Axis kuhlii	0.00131251	0.00123930	0.00138322
Axis porcinus	0.00037289	0.00033375	0.00041038
Babyrousa babyrussa	0.00020584	0.00017786	0.00023429
Babyrousa celebensis	0.00020974	0.00018166	0.00023790
Babyrousa togeanensis	0.00032251	0.00028932	0.00035945
Baeodon alleni	0.00003698	0.00002535	0.00004918
Baeodon gracilis	0.00003201	0.00002139	0.00004373
Baiomys musculus	0.00004494	0.00003187	0.00005820
Baiomys taylori	0.00003707	0.00002542	0.00004895
Baiyankamys habbema	0.00018157	0.00015515	0.00020832
Baiyankamys shawmayeri	0.00002894	0.00001830	0.00003973
Balaena mysticetus	0.00035386	0.00031675	0.00039007
Balaenoptera acutorostrata	0.00003503	0.00002414	0.00004720
Balaenoptera bonaerensis	0.00016188	0.00013546	0.00018673
Balaenoptera borealis	0.00036366	0.00032599	0.00040064
Balaenoptera edeni	0.00002919	0.00001915	0.00003993
Balaenoptera musculus	0.00033285	0.00029674	0.00036885
Balaenoptera omurai	0.00019876	0.00017164	0.00022705
Balaenoptera physalus	0.00019765	0.00017002	0.00022502
Balantiopteryx infusca	0.00019569	0.00016961	0.00022405
Balantiopteryx io	0.00019678	0.00017058	0.00022452
Balantiopteryx plicata	0.00003311	0.00002152	0.00004425
Balionycteris maculata	0.00004514	0.00003256	0.00005844
Bandicota bengalensis	0.00003116	0.00002038	0.00004216
Bandicota indica	0.00002381	0.00001467	0.00003344
Bandicota savilei	0.00004800	0.00003468	0.00006222
Barbastella barbastellus	0.00016009	0.00013563	0.00018470
Barbastella leucomelas	0.00003591	0.00002451	0.00004772
Bassaricyon alleni	0.00003778	0.00002674	0.00005006
Bassaricyon gabbii	0.00003415	0.00002350	0.00004602
Bassaricyon medius	0.00003825	0.00002624	0.00005032
Bassaricyon neblina	0.00013677	0.00011361	0.00015899
Bassariscus astutus	0.00002289	0.00001458	0.00003281
Bassariscus sumichrasti	0.00003293	0.00002184	0.00004452
Bathyergus janetta	0.00003520	0.00002389	0.00004718
Bathyergus suillus	0.00003416	0.00002306	0.00004562
Batomys dentatus	0.00022842	0.00019902	0.00025803
Batomys granti	0.00004290	0.00003022	0.00005547
Batomys hamiguitan	0.00017552	0.00014912	0.00020162
Batomys russatus	0.00036376	0.00032616	0.00040064
Batomys salomonseni	0.00003693	0.00002539	0.00004888
Batomys uragon	0.00003293	0.00002221	0.00004409
Bauerus dubiaquercus	0.00014608	0.00012245	0.00016933
Bdeogale crassicauda	0.00003696	0.00002520	0.00004886
Bdeogale jacksoni	0.00014515	0.00012323	0.00016975
Bdeogale nigripes	0.00003613	0.00002423	0.00004735
Bdeogale omnivora	0.00020584	0.00017874	0.00023567
Beamys hindei	0.00004498	0.00003138	0.00005794
Beatragus hunteri	0.00138153	0.00130477	0.00145411
Belomys pearsonii	0.00020921	0.00018073	0.00023749
Berardius arnuxii	0.00022012	0.00019169	0.00024902
Berardius bairdii	0.00018983	0.00016351	0.00021839
Berylmys berdmorei	0.00003111	0.00002076	0.00004172
Berylmys bowersi	0.00003509	0.00002402	0.00004691
Berylmys mackenziei	0.00020087	0.00017348	0.00022856
Berylmys manipulus	0.00018988	0.00016269	0.00021672
Bettongia gaimardi	0.00015422	0.00013007	0.00017852
Bettongia lesueur	0.00016008	0.00013527	0.00018475
Bettongia penicillata	0.00132349	0.00124631	0.00139432
Bettongia tropica	0.00035330	0.00031672	0.00039069
Bibimys chacoensis	0.00002608	0.00001669	0.00003600
Bibimys labiosus	0.00003296	0.00002232	0.00004396
Bibimys torresi	0.00018922	0.00016335	0.00021712
Bison bison	0.00017415	0.00014741	0.00019952
Bison bonasus	0.00018026	0.00015397	0.00020637
Biswamoyopterus biswasi	0.00134229	0.00126474	0.00141437
Biswamoyopterus laoensis	0.00019379	0.00016748	0.00022267
Blanfordimys afghanus	0.00002781	0.00001770	0.00003788
Blanfordimys bucharensis	0.00004800	0.00003458	0.00006164
Blarina brevicauda	0.00003630	0.00002486	0.00004867
Blarina carolinensis	0.00003986	0.00002717	0.00005155
Blarina hylophaga	0.00003504	0.00002401	0.00004726
Blarinella griselda	0.00003813	0.00002672	0.00005044
Blarinella quadraticauda	0.00015296	0.00012930	0.00017843
Blarinella wardi	0.00003515	0.00002467	0.00004733
Blarinomys breviceps	0.00004308	0.00003082	0.00005623
Blastocerus dichotomus	0.00021401	0.00018596	0.00024393
Bos gaurus	0.00019887	0.00017265	0.00022707
Bos javanicus	0.00033600	0.00029926	0.00037128
Bos mutus	0.00019075	0.00016484	0.00021819
Bos sauveli	0.00147198	0.00139133	0.00154996
Boselaphus tragocamelus	0.00003078	0.00002021	0.00004162
Brachiones przewalskii	0.00004010	0.00002871	0.00005285
Brachylagus idahoensis	0.00002577	0.00001653	0.00003606
Brachyphylla cavernarum	0.00002804	0.00001772	0.00003849
Brachyphylla nana	0.00003903	0.00002751	0.00005146
Brachytarsomys albicauda	0.00002600	0.00001628	0.00003612
Brachytarsomys villosa	0.00021494	0.00018690	0.00024421
Brachyteles arachnoides	0.00144156	0.00136645	0.00151835
Brachyteles hypoxanthus	0.00138716	0.00130899	0.00146159
Brachyuromys betsileoensis	0.00004507	0.00003204	0.00005808
Brachyuromys ramirohitra	0.00003589	0.00002470	0.00004812
Bradypus pygmaeus	0.00132303	0.00125173	0.00139620
Bradypus torquatus	0.00019366	0.00016586	0.00022039
Bradypus tridactylus	0.00003707	0.00002539	0.00004938
Bradypus variegatus	0.00002820	0.00001841	0.00003843
