species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Saltator aurantiirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Saltator maxillosus	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Saltator cinctus	NT	NT	NT	NT	LR/nt	LR/nt	NT		NT														
Saltator atricollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pseudosaltator rufiventris	NT	NT	NT	NT	LR/nt	VU	LR/lc	NT		VU													
Saltator albicollis	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Cyanoloxia glaucocaerulea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cyanocompsa parellina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cyanoloxia brissonii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Passerina caerulea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Passerina amoena	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Passerina cyanea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Passerina versicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Passerina ciris	NT	NT	NT	NT	LR/lc	LR/lc	LR/lc	LC															
Passerina rositae	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc																
Passerina leclancherii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Porphyrospiza caerulescens	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc	NT															
Cacicus oseryi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Psarocolius decumanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Psarocolius viridis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Psarocolius atrovirens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Psarocolius wagleri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cacicus latirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Psarocolius montezuma	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Psarocolius cassini	EN	EN	VU	EN	EN	EN	T			EN				VU		EN		EN					
Psarocolius guatimozinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cacicus haemorrhous	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cacicus koepckeae	EN	EN	VU	VU	VU	VU	T		EN	VU													
Cacicus chrysopterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cacicus leucoramphus	LC		NR	LC	LR/lc	NR	NR		LC								NR						
Cacicus sclateri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cacicus solitarius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cassiculus melanicterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Amblycercus holosericeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus chrysocephalus	LC		NR	LC	LR/lc	LR/lc	LR/lc	LC									NR						
Icterus cayanensis	LC		NR	LC	LR/lc	LR/lc	LR/lc	LC									NR						
Icterus graduacauda	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Icterus chrysater	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus nigrogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Icterus leucopteryx	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus auratus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Icterus mesomelas	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus auricapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus graceannae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus pectoralis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Icterus gularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus pustulatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus jamacaii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Icterus galbula	LC	LC	LC	LC	LR/lc	NR	NR	LC					LC										
Icterus cucullatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus wagleri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus oberi	VU	CR	CR	CR	CR	LR/nt	T		VU		CR	CR	CR			CR							
Icterus bonana	VU	VU	VU	VU	VU	EN	T			EN		VU											
Icterus laudabilis	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Icterus maculialatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Icterus parisorum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Nesopsar nigerrimus	EN	EN	EN	EN	EN	LR/nt	NT					EN											
Gymnomystax mexicanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Xanthocephalus xanthocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Agelasticus xanthophthalmus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Agelasticus thilius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Agelasticus cyanopus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Agelaius phoeniceus	LC	LC	LC	LC	LR/lc	NR	NR	LC					LC										
Agelaius tricolor	EN	EN	EN	LC	LR/lc	LR/lc	LR/lc	EN									EN						
Chrysomus icterocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Agelaius humeralis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Agelaius xanthomus	EN	EN	EN	EN	EN	EN	T		EN	EN													
Chrysomus ruficapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Leistes superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Leistes bellicosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Leistes defilippii	VU	VU	VU	VU	VU	EN	T	VU						VU				VU					
Leistes loyca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sturnella neglecta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pseudoleistes guirahuro	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pseudoleistes virescens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Amblyramphus holosericeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Hypopyrrhus pyrohypogaster	VU	VU	EN	EN	EN	EN	T	VU		EN		VU											
Curaeus curaeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anumara forbesi	EN	EN	EN	EN	CR	CR	T		EN	CR													
Gnorimopsar chopi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oreopsar bolivianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lampropsar tanagrinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Macroagelaius imthurni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Macroagelaius subalaris	EN	EN	EN	CR	CR	LR/nt	NT		EN						EN			EN					
Ptiloxena atroviolacea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dives dives	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dives warczewiczi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Quiscalus mexicanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Quiscalus major	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Quiscalus palustris	EX	EX	EX	EX	EX	EX	EX																
Quiscalus nicaraguensis	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Quiscalus quiscula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NT					LC										
Quiscalus niger	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Quiscalus lugubris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Euphagus carolinus	VU	VU	VU	LC	LR/lc	LR/lc	LR/lc	VU	VU									VU					
Euphagus cyanocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Molothrus rufoaxillaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Molothrus bonariensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Molothrus ater	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Molothrus oryzivorus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Dolichonyx oryzivorus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pogoniulus makawai	DD	DD	DD	DD	DD	VU	T			VU								DD					
Bradypterus bangwaensis	NT	NT	NT	NT	LR/nt	LR/nt	NR																
Troglodytes cobbi	VU	VU	VU	VU	VU	VU	NR		LC	VU							VU						
Otus enganensis	NT	NT	NT	NT	LR/nt	NR	NR																
Otus alfredi	EN	EN	EN	EN	EN		T					EN											
Cinclodes aricomae	CR	CR	CR	CR	CR	CR	T		CR	CR	CR	CR	CR		CR	CR							
Myrmotherula snowi	CR	CR	CR	CR	CR	CR	NR	CR		CR	CR		CR	CR		CR							
Contopus pallidus	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Contopus hispaniolensis	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Phylloscartes kronei	VU	VU	VU	VU	VU	VU	NR			VU		VU		LC									
Caprimulgus solala	VU	VU	VU	VU	VU	NR	NR																
Phylloscopus emeiensis	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Cryptosylvicola randrianasoloi	LC	LC	LC	LC	LR/lc	NR	NR		LC				LC										
Pomarea pomarea	EX	EX	EX	EX	EX	EX	EX		EX														
Dromaius baudinianus	EX	EX	EX	EX	EX	EX	EX																
Chlorostilbon forficatus	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Carpococcyx viridis	CR	CR	CR	CR	CR	NR	NR		CR				CR			CR							
Glaucidium sanchezi	NT	LC	LC	LC	LR/lc	NR	NR				NT		LC	NT									
Scytalopus schulenbergi	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Formicivora acutirostris	EN	EN	EN	EN	EN	NR	NR							NT									
Neopelma chrysolophum	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Synallaxis cinerea	NT	VU	VU	VU	EN	NR	NR							NT									
Phylloscartes beckeri	EN	EN	EN	EN	EN	NR	NR																
Nyctiphrynus rosenbergi	NT	NT	NT	NT	LR/nt	LR/nt	NR																
Hylopezus macularius	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Acrobatornis fonsecai	VU	VU	VU	VU	VU	NR	NR		VU														
Ara tricolor	EX	EX	EX	EX	EX	NR	NR																
Aethopyga linaraborae	NT	NT	NT	NT	LR/nt	NR	NR																
Phapitreron brunneiceps	VU	VU	VU	VU	VU	NR	NR																
Calicalicus rufocarpalis	VU	VU	VU	VU	VU	NR	NR																
Nesillas lantzii	LC	LC	LC	LC	LR/lc	LR/lc	NR						LC										
Cyanoramphus forbesi	VU	EN	EN	EN	EN	NR	NR																
Cyanoramphus malherbi	CR	CR	CR	EN	EN	NR	NR	CR			CR	CR	CR			CR	CR		CR				
Coracornis sanghirensis	CR	CR	CR	CR	CR	NR	NR	CR	CR		CR		CR			CR							
Anas nesiotis	EN	EN	CR	CR	CR	NR	NR					EN	CR		EN	CR	CR						
Otus moheliensis	CR	CR	CR	CR	CR	NR	NR		EN		CR		CR			CR							
Cranioleuca henricae	EN	EN	EN	EN	EN	NR	NR					EN		VU									
Atlapetes melanopsis	EN	EN	EN	EN	EN	NR	NR																
Glaucidium nubicola	VU	VU	VU	VU	VU	NR	NR					VU											
Herpsilochmus gentryi	NT	NT	NT	NT	LR/nt	NR	NR		LC														
Phylloscartes parkeri	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Cercomacroides parkeri	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Chlorostilbon olivaresi	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Grallaria ridgelyi	EN	EN	EN	EN	EN	NR	NR																
Pteroglossus erythropygius	LC		NR	LC	LR/lc	LR/lc	LR/lc														LC		
Leptodon forbesi	CR	CR	CR	CR	CR		NR	EN	EN		CR	CR	CR		CR	CR							
Megascops seductus	LC	NT	NT	NT	LR/nt	NR	NR					NT									LC		
Xanthopsar flavus	VU	VU	VU	VU	VU	EN	T	VU		EN		VU		EN									
Sylviorthorhynchus yanacensis	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Phylloscartes sylviolus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Pogonotriccus eximius	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Guaruba guarouba	VU	EN	EN	EN	EN	EN	T	VU		EN		VU											
Asthenes usheri	VU		NR	NR	NR	NR	T																
Molothrus armenti	VU		NR	NR	NR	NR	T																
Sarkidiornis sylvicola	LC		NR	NR	NR	NR	NT														LC		
Cyrtonyx sallei	NT		NR	NR	NR	NR	NT														NT		
Otus beccarii	VU	EN	EN	EN	EN		NT														VU		
Myrmornis stictoptera	LC		NR	NR	NR	NR	NT																
Microeca tormenti	LC		NR	NR	NR	NR	NT																
Phibalura flavirostris	NT	NT										NT											
Phibalura boliviana	EN	EN										EN											
Setophaga dominica	LC	LC						LC	LC			LC											
Setophaga flavescens	NT	NT							NT			NT											
Psittacus erithacus	EN	VU						EN	EN			VU											
Cissa thalassina	CR	CR						CR			CR	CR											
Cissa jefferyi	LC	LC									LC	LC											
Melanitta fusca	VU	EN						VU			VU	EN											
Melanitta stejnegeri	LC	LC						LC	LC			LC											
Sipia laemosticta	LC	LC																					
Sipia palliata	NT	NT																					
Melanitta nigra	LC	LC						LC				LC											
Arremon atricapillus	LC							LC															
Arremon basilicus	NT																						
Arremon perijanus	VU																						
Arremon assimilis	LC																						
Arremon phaeopleurus	LC																						
Arremon phygas	VU																						
Arremon costaricensis	LC																						
Willisornis vidua	LC	LC										LC											
Sporophila pileata	LC								LC														
Aphelocoma ultramarina	LC	LC										LC											
Aphelocoma wollweberi	LC	LC										LC											
Mentocrex beankaensis	NT								NT			NT											
Grallaricula nana	LC	LC										LC											
Apus horus	LC	LC										LC											
Argusianus argus	NT	NT										NT											
Picus sharpei	NT	LC									NT	LC											
Picus viridis	LC	LC										LC											
Charadrius nivosus	NT								NT												NT		
Acanthis flammea	LC	LC						LC				LC											
Otus everetti	LC																				LC		
Otus nigrorum	VU								VU												VU		
Ramphiculus epius	LC																				LC		
Ramphiculus mangoliensis	NT																				NT		
Rhodopechys sanguineus	LC	LC										LC											
Batis minor	LC	LC										LC											
Phodilus assimilis	LC																				LC		
Rallus aquaticus	LC													LC							LC		
Rallus indicus	LC																				LC		
Bambusicola thoracicus	LC																				LC		
Bambusicola sonorivox	LC																				LC		
Guttera pucherani	LC																				LC		
Guttera edouardi	LC																				LC		
Vanellus miles	LC																				LC		
Vanellus novaehollandiae	LC																				LC		
Otidiphaps nobilis	LC																				LC		
Otidiphaps cervicalis	LC																				LC		
Patagioenas fasciata	LC																				LC		
Patagioenas albilinea	LC																				LC		
Ptilinopus superbus	LC																				LC		
Ptilinopus temminckii	LC																				LC		
Ducula basilica	LC																				LC		
Ducula obiensis	LC																				LC		
Trichoglossus haematodus	LC							LC													LC		
Trichoglossus capistratus	LC																				LC		
Trichoglossus rubritorquis	LC																				LC		
Trichoglossus moluccanus	LC																				LC		
Charmosyna papou	LC																				LC		
Charmosyna stellae	LC																				LC		
Cyclopsitta gulielmitertii	LC																				LC		
Cyclopsitta melanogenia	LC																				LC		
Cyclopsitta amabilis	LC																				LC		
Corythaixoides personatus	LC																				LC		
Corythaixoides leopoldi	LC																				LC		
Phaenicophaeus curvirostris	LC																				LC		
Phaenicophaeus oeneicaudus	LC																				LC		
Coua ruficeps	LC								LC												LC		
Coua olivaceiceps	LC																				LC		
Coua cristata	LC																				LC		
Coua pyropyga	LC																				LC		
Strix aluco	LC																				LC		
Strix nivicolum	LC																				LC		
Ninox philippensis	LC																				LC		
Ninox spilonotus	VU								EN												VU		
Ninox reyi	VU								VU												VU		
Ninox rumseyi	EN								EN												EN		
Ninox leventisi	EN																				EN		
Turnix hottentottus	EN													EN							EN		
Turnix nanus	LC													LC							LC		
Chalcophaps indica	LC																				LC		
Chalcophaps longirostris	LC																				LC		
Treron affinis	LC																				LC		
Treron pompadora	LC																				LC		
Ducula oenothorax	NT																				NT		
Ducula aenea	LC																				LC		
Psittaculirostris desmarestii	LC																				LC		
Psittaculirostris godmani	LC																				LC		
Psittaculirostris cervicalis	LC																				LC		
Ceuthmochares aereus	LC																				LC		
Ceuthmochares australis	LC																				LC		
Ninox scutulata	LC										LC										LC		
Ninox japonica	LC																				LC		
Eurostopodus mystacalis	LC								LC												LC		
Eurostopodus nigripennis	VU																				VU		
Systellura longirostris	LC																				LC		
Systellura decussata	LC																				LC		
Caprimulgus indicus	LC																				LC		
Caprimulgus jotaka	LC																				LC		
Caprimulgus macrurus	LC																				LC		
Caprimulgus andamanicus	LC																				LC		
Phaethornis longirostris	LC																				LC		
Phaethornis baroni	LC																				LC		
Anthracothorax dominicus	LC																				LC		
Anthracothorax aurulentus	LC																				LC		
Stephanoxis lalandi	LC																				LC		
Stephanoxis loddigesii	LC																				LC		
Cynanthus latirostris	LC																				LC		
Cynanthus doubledayi	LC																				LC		
Lampornis castaneoventris	LC																				LC		
Lampornis cinereicauda	LC																				LC		
Urochroa bougueri	LC																				LC		
Urochroa leucura	LC																				LC		
Tanysiptera sylvia	LC																				LC		
Tanysiptera nigriceps	LC																				LC		
Halcyon smyrnensis	LC																				LC		
Halcyon gularis	LC																				LC		
Todiramphus cinnamominus	EW								EW		EW										EW		
Todiramphus pelewensis	NT																				NT		
Merops orientalis	LC																				LC		
Merops viridissimus	LC																				LC		
Merops cyanophrys	LC								LC												LC		
Merops viridis	LC																				LC		
Merops americanus	LC																				LC		
Coracias benghalensis	LC																				LC		
Coracias affinis	LC																				LC		
Tockus erythrorhynchus	LC																				LC		
Tockus damarensis	LC																				LC		
Horizocerus albocristatus	LC																				LC		
Horizocerus cassini	LC																				LC		
Bycanistes fistulator	LC							LC													LC		
Bycanistes sharpii	LC																				LC		
Trachylaemus purpuratus	LC																				LC		
Trachylaemus goffinii	LC																				LC		
Trachylaemus togoensis	LC																				LC		
Trachyphonus darnaudii	LC																				LC		
Trachyphonus emini	LC																				LC		
Gymnobucco calvus	LC																				LC		
Gymnobucco vernayi	LC													VU							LC		
Gymnobucco bonapartei	LC																				LC		
Gymnobucco cinereiceps	LC																				LC		
Stactolaema leucotis	LC																				LC		
Stactolaema leucogrammica	LC																				LC		
Lybius leucocephalus	LC																				LC		
Lybius senex	LC																				LC		
Lybius leucogaster	LC								EN												LC		
Pogonornis minor	LC																				LC		
Pogonornis macclounii	LC																				LC		
Psilopogon franklinii	LC																				LC		
Psilopogon auricularis	LC																				LC		
Psilopogon australis	LC																				LC		
Psilopogon cyanotis	LC																				LC		
Psilopogon duvaucelii	LC							LC													LC		
Psilopogon rubricapillus	LC																				LC		
Psilopogon malabaricus	LC																				LC		
Eubucco richardsoni	LC																				LC		
Eubucco aurantiicollis	LC																				LC		
Aulacorhynchus prasinus	LC																				LC		
Aulacorhynchus wagleri	LC																				LC		
Aulacorhynchus cyanolaemus	LC																				LC		
Aulacorhynchus atrogularis	LC																				LC		
Pteroglossus inscriptus	LC																				LC		
Pteroglossus humboldti	LC																				LC		
Pteroglossus torquatus	LC																				LC		
Pteroglossus sanguineus	LC																				LC		
Ramphastos vitellinus	VU																				VU		
Ramphastos ariel	EN																				EN		
Ramphastos culminatus	VU																				VU		
Aulacorhynchus caeruleogularis	LC																				LC		
Cynanthus lawrencei	NT																				NT		
Otidiphaps insularis	EN																				EN		
Treron chloropterus	NT								NT												NT		
Treron phayrei	NT								NT												NT		
Treron axillaris	LC																				LC		
Treron aromaticus	NT								NT												NT		
Trichoglossus forsteni	VU																				NT		
Trichoglossus weberi	NT								NT												NT		
Trichoglossus rosenbergii	VU																				VU		
Ninox randi	NT																				NT		
Ninox obscura	LC																				LC		
Ninox mindorensis	VU								VU												VU		
Eurostopodus exul	CR							CR													CR		
Caprimulgus phalaena	NT																				NT		
Phaethornis mexicanus	LC																				LC		
Campethera taeniolaema	LC																				LC		
Campethera tullbergi	LC																				LC		
Dendrocopos macei	LC																				LC		
Dendrocopos analis	LC																				LC		
Colaptes rivolii	LC																				LC		
Colaptes atriceps	LC																				LC		
Colaptes auratus	LC																				LC		
Colaptes cafer	LC																				LC		
Colaptes mexicanoides	LC																				LC		
Colaptes rupicola	LC								LC												LC		
Colaptes cinereicapillus	LC								LC												LC		
Colaptes campestris	LC																				LC		
Colaptes campestroides	LC																				LC		
Celeus torquatus	NT																				NT		
Celeus occidentalis	LC																				LC		
Celeus tinnunculus	VU																				VU		
Hylatomus lineatus	LC																				LC		
Hylatomus fuscipennis	LC																				LC		
Picus canus	LC																				LC		
Picus guerini	LC																				LC		
Picus dedemi	NT								NT												NT		
Chrysocolaptes lucidus	LC																				LC		
Chrysocolaptes guttacristatus	LC																				LC		
Chrysocolaptes stricklandi	LC																				LC		
Chrysocolaptes strictus	VU																				VU		
Chrysocolaptes haematribon	LC																				LC		
Chrysocolaptes xanthocephalus	EN								EN												EN		
Chrysocolaptes erythrocephalus	EN																				EN		
Todiramphus reichenbachii	VU								VU												VU		
Ceyx lepidus	LC																				LC		
Ceyx margarethae	LC																				LC		
Ceyx cajeli	NT																				NT		
Ceyx solitarius	LC																				LC		
Ceyx dispar	NT																				NT		
Ceyx mulcatus	LC																				LC		
Ceyx sacerdotis	LC																				LC		
Ceyx meeki	LC																				LC		
Ceyx collectoris	LC																				LC		
Ceyx nigromaxilla	LC																				LC		
Ceyx gentianus	NT								LC												NT		
Phaethornis griseogularis	LC																				LC		
Phaethornis porcullae	LC																				LC		
Lophornis chalybeus	NT																				NT		
Lophornis verreauxii	LC																				LC		
Thalurania colombica	LC																				LC		
Amazilia lactea	LC								LC												LC		
Amazilia bartletti	LC																				LC		
Coeligena torquata	LC																				LC		
Coeligena conradii	LC																				LC		
Coeligena eisenmanni	LC																				LC		
Coeligena inca	LC																				LC		
Coeligena violifer	LC																				LC		
Coeligena dichroura	LC																				LC		
Coeligena albicaudata	LC																				LC		
Coeligena osculans	LC																				LC		
Oxypogon guerinii	LC																				LC		
Oxypogon cyanolaemus	CR							CR			CR										CR		
Oxypogon lindenii	LC																				LC		
Oxypogon stuebelii	VU																				VU		
Schistes geoffroyi	LC																				LC		
Schistes albogularis	LC																				LC		
Trogon elegans	LC																				LC		
Trogon ambiguus	LC																				LC		
Actenoides monachus	NT																				NT		
Actenoides capucinus	NT							NT													NT		
Actenoides princeps	NT																				NT		
Actenoides bougainvillei	EN																				EN		
Actenoides excelsus	EN								EN												EN		
Cittura cyanotis	LC																				LC		
Cittura sanghirensis	NT								NT												NT		
Lacedo pulchella	LC																				LC		
Lacedo melanops	LC																				LC		
Todiramphus veneratus	LC																				LC		
Todiramphus youngi	NT																				NT		
Ceyx argentatus	NT																				NT		
Ceyx flumenicola	NT																				NT		
Ceyx cyanopectus	LC																				LC		
Ceyx nigrirostris	NT								NT												NT		
Alcedo euryzona	CR							CR			CR										CR		
Alcedo peninsulae	NT																				NT		
Horizocerus hartlaubi	LC																				LC		
Horizocerus granti	LC																				LC		
Buceros hydrocorax	VU																				VU		
Buceros mindanensis	VU																				VU		
Galbula albirostris	LC																				LC		
Galbula chalcocephala	LC																				LC		
Caloramphus fuliginosus	LC																				LC		
Caloramphus hayii	NT																				NT		
Eubucco versicolor	LC																				LC		
Eubucco steerii	NT																				NT		
Eubucco glaucogularis	NT																				NT		
Aulacorhynchus derbianus	LC																				LC		
Aulacorhynchus whitelianus	LC																				LC		
Selenidera reinwardtii	LC																				LC		
Selenidera langsdorffii	LC																				LC		
Dendropicos elliotii	LC																				LC		
Dendropicos johnstoni	LC																				LC		
Dendrocopos leucotos	LC										LC										LC		
Dendrocopos owstoni	NT																				NT		
Picoides tridactylus	LC																				LC		
Picoides funebris	LC																				LC		
Campephilus haematogaster	LC																				LC		
Campephilus splendens	NT																				NT		
Dinopium javanense	LC																				LC		
Dinopium everetti	NT																				NT		
Meiglyptes tristis	EN																				EN		
Meiglyptes grammithorax	LC																				LC		
Hemicircus concretus	LC																				LC		
Hemicircus sordidus	LC																				LC		
Mulleripicus funebris	NT																				NT		
Mulleripicus fuliginosus	VU																				VU		
Ciconia episcopus	VU																				VU		
Ciconia microscelis	LC																				LC		
Anas gibberifrons	NT																				NT		
Anas albogularis	VU																				VU		
Pipile cumanensis	LC																				LC		
Pipile grayi	NT																				NT		
Scleroptila psilolaema	NT																				NT		
Scleroptila elgonensis	NT																				NT		
Arborophila tonkinensis	LC																				LC		
Arborophila graydoni	LC								LC												LC		
Arborophila charltonii	VU																				VU		
Lophura erythrophthalma	VU																				VU		
Lophura pyronota	VU																				VU		
Lophura ignita	NT																				NT		
Lophura rufa	NT																				NT		
Hypotaenidia woodfordi	NT																				NT		
Hypotaenidia tertia	NT																				NT		
Hypotaenidia immaculata	NT																				NT		
Charadrius tricollaris	LC																				LC		
Charadrius bifrontatus	LC																				LC		
Charadrius alexandrinus	LC																				LC		
Coenocorypha aucklandica	NT																				NT		
Coenocorypha huegeli	NT																				NT		
Coenocorypha iredalei	EX																				EX		
Streptopelia bitorquata	LC																				LC		
Streptopelia dusumieri	VU							VU													VU		
Treron formosae	NT																				NT		
Treron permagnus	LC																				LC		
Hemiphaga novaeseelandiae	NT																				NT		
Trichoglossus flavoviridis	LC																				LC		
Trichoglossus meyeri	LC																				LC		
Cyclopsitta diophthalma	LC																				LC		
Cyclopsitta coxeni	CR								EN		CR										CR		
Psittinus cyanurus	NT																				NT		
Psittinus abbotti	NT																				NT		
Pionus tumultuosus	LC																				LC		
Amazona festiva	NT																				NT		
Amazona bodini	NT																				NT		
Phodilus badius	LC																				LC		
Otus megalotis	LC																				LC		
Ardea intermedia	LC																				LC		
Ardea brachyrhyncha	LC								LC												LC		
Ardea plumifera	LC																				LC		
Pernis celebensis	LC																				LC		
Accipiter tachiro	LC																				LC		
Accipiter toussenelii	LC																				LC		
Accipiter novaehollandiae	LC																				LC		
Accipiter hiogaster	LC																				LC		
Accipiter sylvestris	LC																				LC		
Circus cyaneus	LC										LC										LC		
Circus hudsonius	LC																				LC		
Anous ceruleus	LC							LC													LC		
Oxyura jamaicensis	LC							LC													LC		
Oxyura ferruginea	LC																				LC		
Buteo nitidus	LC																				LC		
Buteo plagiatus	LC																				LC		
Falco chicquera	NT																				NT		
Falco ruficollis	LC																				LC		
Streptopelia decaocto	LC							LC						LC							LC		
Streptopelia xanthocycla	LC																				LC		
Phapitreron leucotis	LC																				LC		
Phapitreron nigrorum	LC																				LC		
Phapitreron brevirostris	LC																				LC		
Treron australis	LC																				LC		
Ducula badia	LC																				LC		
Ducula cuprea	LC																				LC		
Prioniturus discurus	LC																				LC		
Prioniturus mindorensis	VU																				VU		
Coracopsis nigra	LC																				LC		
Coracopsis barklyi	VU																				VU		
Ninox squamipila	LC																				LC		
Ninox hypogramma	LC																				LC		
