species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Haematortyx sanguiniceps	LC	LC	LC	LC	LR/lc	LR/lc	NT						LC										
Rollulus rouloul	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc																
Ptilopachus petrosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Bambusicola fytchii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Galloperdix spadicea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Galloperdix lunulata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Galloperdix bicalcarata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ophrysia superciliosa	CR	CR	CR	CR	CR	CR	T	CR	CR	CR	CR	CR	CR										
Ithaginis cruentus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tragopan melanocephalus	VU	VU	VU	VU	VU	VU	T			VU		VU											
Tragopan satyra	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Tragopan blythii	VU	VU	VU	VU	VU	VU	T		VU	VU													
Tragopan temminckii	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Tragopan caboti	VU	VU	VU	VU	VU	VU	T			VU							VU						
Pucrasia macrolopha	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lophophorus impejanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lophophorus sclateri	VU	VU	VU	VU	VU	VU	T			VU		VU											
Lophophorus lhuysii	VU	VU	VU	VU	VU	VU	T			VU		VU											
Gallus gallus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallus sonneratii	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Gallus lafayettii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallus varius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lophura leucomelanos	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc					LC	LC										
Lophura nycthemera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lophura swinhoii	NT	NT	NT	NT	LR/nt	LR/nt	T							NT									
Lophura diardi	LC	LC	NT	NT	LR/nt	VU	T			VU					LC			NT		NT			
Lophura bulweri	VU	VU	VU	VU	VU	VU	T			VU		VU											
Crossoptilon harmani	NT	NT	NT	NT	LR/nt	VU	LR/lc			VU													
Crossoptilon crossoptilon	NT	NT	NT	NT	LR/nt	VU	T			VU								NT					
Crossoptilon mantchuricum	VU	VU	VU	VU	VU	VU	T			VU		VU											
Crossoptilon auritum	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Catreus wallichii	VU	VU	VU	VU	VU	VU	T			VU		VU									VU		
Syrmaticus ellioti	NT	NT	VU	VU	VU	VU	T			VU						NT							
Syrmaticus humiae	NT	NT	NT	VU	VU	VU	T			VU									NT				
Syrmaticus mikado	NT	NT	NT	NT	LR/nt	LR/nt	T																
Syrmaticus soemmerringii	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Syrmaticus reevesii	VU	VU	VU	VU	VU	VU	T	VU		VU		VU											
Chrysolophus pictus	LC	LC	LC	LC	LR/lc	LR/nt	NT	LC					LC										
Chrysolophus amherstiae	LC	LC	LC	LC	LR/lc	LR/nt	NT	LC					LC										
Polyplectron chalcurum	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Polyplectron inopinatum	VU	VU	VU	VU	VU	VU	NT			VU		VU											
Polyplectron germaini	NT	NT	NT	VU	VU	VU	T			VU									NT				
Polyplectron malacense	VU	VU	VU	VU	VU	VU	T			VU		VU											
Polyplectron schleiermacheri	EN	EN	EN	EN	EN	CR	NR			CR		EN											
Polyplectron napoleonis	VU	VU	VU	VU	VU	EN	T	VU		EN		VU											
Rheinardia ocellata	NT	NT	NT	VU	VU	VU	T	EN		VU									NT				
Afropavo congensis	VU	VU	VU	VU	VU	VU	T			VU		VU					VU						
Pavo cristatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pavo muticus	EN	EN	VU	VU	VU	VU	T	EN		VU		EN	EN										
Falcipennis falcipennis	NT	NT	NT	NT	LR/nt	LR/nt	NT		NT														
Lagopus lagopus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lagopus muta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lagopus leucura	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lyrurus tetrix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lyrurus mlokosiewiczi	NT	NT	NT	DD	DD	LR/nt	NT				NT												
Tetrao urogallus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tetrao urogalloides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Bonasa bonasia	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Bonasa sewerzowi	NT	NT	NT	NT	LR/nt	LR/nt	NT		NT														
Bonasa umbellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Centrocercus urophasianus	NT	NT	NT	NT	LR/lc	NR	NR																
Tympanuchus phasianellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tympanuchus cupido	VU	VU	VU	VU	LR/lc	LR/lc	LR/lc				VU												
Tympanuchus pallidicinctus	VU	VU	VU	VU	VU	LR/lc	LR/lc	VU															
Meleagris gallopavo	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Meleagris ocellata	NT	NT	NT	NT	LR/nt	LR/nt	T																
Agelastes meleagrides	VU	VU	VU	VU	VU	VU	T			VU													
Agelastes niger	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Numida meleagris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Guttera plumifera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Acryllium vulturinum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrortyx barbatus	VU	VU	VU	VU	VU	CR	T			CR									VU				
Dendrortyx macroura	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Dendrortyx leucophrys	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oreortyx pictus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Callipepla squamata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Callipepla douglasii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Callipepla californica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Callipepla gambelii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Philortyx fasciatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Colinus nigrogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus gujanensis	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus capueira	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus melanotis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus erythrops	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus atrifrons	VU	VU	VU	VU	VU	LR/nt	NT																
Odontophorus hyperythrus	NT	NT	NT	NT	LR/nt	LR/nt	T					NT											
Odontophorus melanonotus	VU	VU	VU	VU	VU	LR/nt	NT																
Odontophorus speciosus	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus dialeucos	VU	VU	VU	VU	VU	LR/nt	NT																
Odontophorus strophium	EN	EN	EN	CR	CR	EN	T	VU		EN				VU									
Odontophorus columbianus	NT	NT	NT	NT	LR/nt	LR/nt	NT				NT												
Odontophorus leucolaemus	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Odontophorus balliviani	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus stellatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Odontophorus guttatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dactylortyx thoracicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cyrtonyx ocellatus	VU	VU	NT	NT	LR/nt	LR/nt	LR/lc					VU				VU							
Rhynchortyx cinctus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anhima cornuta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chauna chavaria	NT	NT	NT	NT	LR/nt	LR/nt	T				NT						NT						
Chauna torquata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anseranas semipalmata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocygna guttata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocygna eytoni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Dendrocygna bicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocygna arcuata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Dendrocygna javanica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocygna viduata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocygna arborea	VU	VU	VU	VU	VU	VU	T			VU		VU		NT			VU						
Dendrocygna autumnalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC										
Thalassornis leuconotus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
