species	simulated_p_e_in_500_years
Anthracothorax nigricollis	0.23000000
Anthracothorax prevostii	0.20000000
Anthracothorax veraguensis	0.25000000
Anthracothorax viridigula	0.26000000
Anthracothorax viridis	0.27000000
Anthreptes anchietae	0.24000000
Anthreptes aurantius	0.32000000
Anthreptes gabonicus	0.27000000
Anthreptes griseigularis	0.25000000
Anthreptes longuemarei	0.21000000
Anthreptes malacensis	0.19000000
Anthreptes neglectus	0.25000000
Anthreptes orientalis	0.27000000
Anthreptes rectirostris	0.21000000
Anthreptes reichenowi	0.39000000
Anthreptes rhodolaemus	0.49000000
Anthreptes rubritorques	0.62000000
Anthreptes seimundi	0.26000000
Anthreptes simplex	0.22000000
Anthreptes tephrolaemus	0.17000000
Anthropoides paradiseus	0.45000000
Anthropoides virgo	0.18000000
Anthus antarcticus	0.37000000
Anthus berthelotii	0.22000000
Anthus bogotensis	0.25000000
Anthus brachyurus	0.26000000
Anthus caffer	0.30000000
Anthus campestris	0.30000000
Anthus cervinus	0.29000000
Anthus chacoensis	0.24000000
Anthus cinnamomeus	0.23000000
Anthus correndera	0.31000000
Anthus crenatus	0.38000000
Anthus furcatus	0.21000000
Anthus godlewskii	0.18000000
Anthus gustavi	0.24000000
Anthus gutturalis	0.16000000
Anthus hellmayri	0.22000000
Anthus hodgsoni	0.25000000
Anthus hoeschi	0.34000000
Anthus leucophrys	0.24000000
Anthus lineiventris	0.23000000
Anthus lutescens	0.21000000
Anthus melindae	0.26000000
Anthus nattereri	0.62000000
Anthus nilghiriensis	0.57000000
Anthus novaeseelandiae	0.27000000
Anthus nyassae	0.21000000
Anthus pallidiventris	0.21000000
Anthus peruvianus	0.27000000
Anthus petrosus	0.25000000
Anthus pratensis	0.46000000
Anthus richardi	0.28000000
Anthus roseatus	0.22000000
Anthus rubescens	0.26000000
Anthus rufulus	0.24000000
Anthus similis	0.29000000
Anthus sokokensis	0.85000000
Anthus spinoletta	0.19000000
Anthus spragueii	0.63000000
Anthus sylvanus	0.16000000
Anthus trivialis	0.24000000
Anthus vaalensis	0.24000000
Antigone antigone	0.42000000
Antigone canadensis	0.15000000
Antigone rubicunda	0.16000000
Antigone vipio	0.47000000
Antilophia bokermanni	0.95000000
Antilophia galeata	0.15000000
Antrostomus arizonae	0.19000000
Antrostomus badius	0.25000000
Antrostomus carolinensis	0.36000000
Antrostomus cubanensis	0.21000000
Antrostomus ekmani	0.24000000
Antrostomus noctitherus	0.79000000
Antrostomus ridgwayi	0.26000000
Antrostomus rufus	0.23000000
Antrostomus salvini	0.25000000
Antrostomus saturatus	0.23000000
Antrostomus sericocaudatus	0.25000000
Antrostomus vociferus	0.36000000
Anumara forbesi	0.81000000
Anumbius annumbi	0.30000000
Anurophasis monorthonyx	0.40000000
Apalharpactes mackloti	0.29000000
Apalharpactes reinwardtii	0.53000000
Apalis alticola	0.24000000
Apalis argentea	0.23000000
Apalis bamendae	0.25000000
Apalis binotata	0.26000000
Apalis chapini	0.29000000
Apalis chariessa	0.41000000
Apalis chirindensis	0.26000000
Apalis cinerea	0.26000000
Apalis flavida	0.23000000
Apalis flavigularis	0.80000000
Apalis flavocincta	0.22000000
Apalis fuscigularis	0.95000000
Apalis goslingi	0.24000000
Apalis jacksoni	0.26000000
Apalis kaboboensis	0.48000000
Apalis karamojae	0.67000000
Apalis lynesi	0.36000000
Apalis melanocephala	0.22000000
Apalis nigriceps	0.17000000
Apalis personata	0.25000000
Apalis porphyrolaema	0.19000000
Apalis ruddi	0.25000000
Apalis rufogularis	0.29000000
Apalis sharpii	0.19000000
Apalis thoracica	0.21000000
Apaloderma aequatoriale	0.22000000
Apaloderma narina	0.16000000
Apaloderma vittatum	0.18000000
Apalopteron familiare	0.46000000
Aphanotriccus audax	0.44000000
Aphanotriccus capitalis	0.51000000
Aphantochroa cirrochloris	0.21000000
Aphelocephala leucopsis	0.26000000
Aphelocephala nigricincta	0.23000000
Aphelocephala pectoralis	0.47000000
Aphelocoma californica	0.16000000
Aphelocoma coerulescens	0.53000000
Aphelocoma ultramarina	0.13000000
Aphelocoma unicolor	0.24000000
Aphelocoma wollweberi	0.24000000
Aphrastura masafucrae	0.93000000
Aphrastura spinicauda	0.20000000
Aphrodroma brevirostris	0.15000000
Aplonis atrifusca	0.25000000
Aplonis brunneicapillus	0.77000000
Aplonis cantoroides	0.24000000
Aplonis cinerascens	0.64000000
Aplonis crassa	0.48000000
Aplonis dichroa	0.30000000
Aplonis feadensis	0.49000000
Aplonis grandis	0.33000000
Aplonis insularis	0.19000000
Aplonis magna	0.23000000
Aplonis metallica	0.16000000
Aplonis minor	0.17000000
Aplonis mysolensis	0.35000000
Aplonis mystacea	0.43000000
Aplonis opaca	0.33000000
Aplonis panayensis	0.22000000
Aplonis pelzelni	0.92000000
Aplonis santovestris	0.85000000
Aplonis striata	0.22000000
Aplonis tabuensis	0.27000000
Aplonis zelandica	0.37000000
Aplopelia larvata	0.17000000
Aprositornis disjuncta	0.21000000
Aprosmictus erythropterus	0.18000000
Aprosmictus jonquillaceus	0.46000000
Aptenodytes forsteri	0.26000000
Aptenodytes patagonicus	0.20000000
Apteryx australis	0.56000000
Apteryx haastii	0.46000000
Apteryx mantelli	0.59000000
Apteryx owenii	0.29000000
Apteryx rowi	0.39000000
Apus acuticauda	0.54000000
Apus affinis	0.20000000
Apus alexandri	0.20000000
Apus apus	0.20000000
Apus balstoni	0.20000000
Apus barbatus	0.17000000
Apus batesi	0.21000000
Apus berliozi	0.26000000
Apus bradfieldi	0.23000000
Apus caffer	0.26000000
Apus horus	0.25000000
Apus niansae	0.26000000
Apus nipalensis	0.14000000
Apus pacificus	0.16000000
Apus pallidus	0.18000000
Apus sladeniae	0.44000000
Apus unicolor	0.24000000
Aquila adalberti	0.37000000
Aquila africana	0.22000000
Aquila audax	0.13000000
Aquila chrysaetos	0.19000000
Aquila fasciata	0.20000000
Aquila gurneyi	0.25000000
Aquila heliaca	0.45000000
Aquila nipalensis	0.52000000
Aquila rapax	0.48000000
Aquila spilogaster	0.11000000
Aquila verreauxii	0.18000000
Ara ambiguus	0.68000000
Ara ararauna	0.14000000
Ara chloropterus	0.19000000
Ara glaucogularis	0.85000000
Ara macao	0.20000000
Ara militaris	0.43000000
Ara rubrogenys	0.85000000
Ara severus	0.22000000
Arachnothera affinis	0.18000000
Arachnothera chrysogenys	0.24000000
Arachnothera clarae	0.17000000
Arachnothera crassirostris	0.28000000
Arachnothera dilutior	0.24000000
Arachnothera flammifera	0.16000000
Arachnothera flavigaster	0.20000000
Arachnothera hypogrammica	0.18000000
Arachnothera juliae	0.17000000
Arachnothera longirostra	0.17000000
Arachnothera magna	0.26000000
Arachnothera modesta	0.26000000
Arachnothera robusta	0.27000000
Aramides axillaris	0.22000000
Aramides cajaneus	0.24000000
Aramides calopterus	0.24000000
Aramides mangle	0.24000000
Aramides saracura	0.23000000
Aramides wolfi	0.51000000
Aramides ypecaha	0.24000000
Aramidopsis plateni	0.57000000
Aramus guarauna	0.26000000
Aratinga auricapillus	0.33000000
Aratinga jandaya	0.22000000
Aratinga maculata	0.21000000
Aratinga nenday	0.18000000
Aratinga solstitialis	0.71000000
Aratinga weddellii	0.30000000
Arborophila ardens	0.59000000
Arborophila atrogularis	0.43000000
Arborophila brunneopectus	0.19000000
Arborophila cambodiana	0.21000000
Arborophila campbelli	0.23000000
Arborophila charltonii	0.62000000
Arborophila chloropus	0.21000000
Arborophila crudigularis	0.25000000
Arborophila davidi	0.40000000
Arborophila gingica	0.47000000
Arborophila graydoni	0.21000000
Arborophila hyperythra	0.23000000
