species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Neophoca cinerea	0.004972275	0.003540491	0.006585415	0.390000000
Neovison vison	0.000428108	0.000105736	0.000838576	0.030000000
Nyctereutes procyonoides	0.000492036	0.000135782	0.000946445	0.040000000
Odobenus rosmarus	0.001372107	0.000686434	0.002059024	0.120000000
Ommatophoca rossii	0.000093780	0.000001237	0.000275068	0.000000000
Otaria byronia	0.000199996	0.000002381	0.000480962	0.010000000
Otocolobus manul	0.001693148	0.000907678	0.002539160	0.150000000
Otocyon megalotis	0.000111175	0.000001129	0.000312803	0.000000000
Pagophilus groenlandicus	0.000190917	0.000005588	0.000473290	0.010000000
Paguma larvata	0.000524600	0.000124690	0.000972242	0.040000000
Panthera leo	0.001152126	0.000517925	0.001849689	0.100000000
Panthera leo	0.002185180	0.001258790	0.003159722	0.190000000
Panthera onca	0.001012572	0.000422436	0.001622416	0.090000000
Panthera pardus	0.002489355	0.001503144	0.003541409	0.220000000
Panthera tigris	0.003135029	0.001990012	0.004336178	0.260000000
Panthera uncia	0.001731951	0.000908901	0.002613523	0.150000000
Paracynictis selousi	0.000504535	0.000118301	0.000953590	0.040000000
Paradoxurus hermaphroditus	0.000316444	0.000032819	0.000686386	0.020000000
Paradoxurus jerdoni	0.000288153	0.000039691	0.000621613	0.020000000
Paradoxurus zeylonensis	0.000295621	0.000046273	0.000636689	0.020000000
Parahyaena brunnea	0.000937280	0.000373622	0.001582333	0.080000000
Pardofelis marmorata	0.001355527	0.000654812	0.002137041	0.120000000
Phoca largha	0.000108793	0.000000516	0.000307622	0.000000000
Phoca vitulina	0.000205199	0.000019470	0.000499935	0.010000000
Phocarctos hookeri	0.002860690	0.001754270	0.003974170	0.240000000
Poecilogale albinucha	0.000399326	0.000053167	0.000804796	0.030000000
Poiana leightoni	0.001368822	0.000668453	0.002105136	0.120000000
Poiana richardsonii	0.000515732	0.000129069	0.000989751	0.040000000
Potos flavus	0.000310659	0.000015419	0.000647527	0.020000000
Prionailurus bengalensis	0.000288082	0.000027333	0.000640087	0.020000000
Prionailurus planiceps	0.004458070	0.003121625	0.005955490	0.360000000
Prionailurus rubiginosus	0.001277820	0.000602179	0.002001112	0.110000000
Prionailurus viverrinus	0.003287152	0.002120363	0.004540392	0.270000000
Prionodon linsang	0.000597579	0.000191129	0.001082853	0.050000000
Prionodon pardicolor	0.000510076	0.000153306	0.000949856	0.040000000
Procyon cancrivorus	0.000197041	0.000005041	0.000451123	0.010000000
Procyon lotor	0.000602382	0.000181136	0.001097130	0.050000000
Procyon pygmaeus	0.020791546	0.016606806	0.025318451	0.840000000
Proteles cristata	0.000314610	0.000037268	0.000644732	0.020000000
Pteronura brasiliensis	0.005516291	0.003944674	0.007190903	0.420000000
Puma concolor	0.000205277	0.000007734	0.000491811	0.010000000
Pusa caspica	0.001392549	0.000697222	0.002210498	0.120000000
Pusa hispida	0.000404073	0.000100210	0.000783079	0.030000000
Pusa sibirica	0.000108578	0.000000850	0.000304087	0.000000000
Rhynchogale melleri	0.000397475	0.000057199	0.000779754	0.030000000
Salanoia concolor	0.003025149	0.001935614	0.004185165	0.260000000
Speothos venaticus	0.001261437	0.000606888	0.001968317	0.110000000
Spilogale angustifrons	0.000406487	0.000072819	0.000785465	0.030000000
Spilogale gracilis	0.000811375	0.000309876	0.001406379	0.070000000
Spilogale putorius	0.002552714	0.001575644	0.003650960	0.220000000
Spilogale pygmaea	0.002164493	0.001296530	0.003105379	0.190000000
Suricata suricatta	0.000597090	0.000174437	0.001092549	0.050000000
Taxidea taxus	0.000196853	0.000007471	0.000472659	0.010000000
Tremarctos ornatus	0.001484321	0.000723757	0.002259317	0.130000000
Urocyon cinereoargenteus	0.000714343	0.000285870	0.001253983	0.060000000
Urocyon littoralis	0.001685774	0.000875609	0.002505604	0.150000000
Ursus americanus	0.000300031	0.000049878	0.000635406	0.020000000
Ursus arctos	0.000101697	0.000000521	0.000303342	0.000000000
Ursus maritimus	0.001702075	0.000916233	0.002524295	0.150000000
Ursus thibetanus	0.001146825	0.000521902	0.001885126	0.100000000
Viverra civettina	0.014751836	0.011401106	0.018125828	0.720000000
Viverra megaspila	0.005338590	0.003804988	0.006934528	0.420000000
Viverra tangalunga	0.000331569	0.000053550	0.000696493	0.020000000
Viverra zibetha	0.000308129	0.000035866	0.000635902	0.020000000
Viverricula indica	0.000399965	0.000059483	0.000787021	0.030000000
Vormela peregusna	0.003454311	0.002288238	0.004730840	0.290000000
Vulpes bengalensis	0.000404706	0.000080407	0.000819104	0.030000000
Vulpes cana	0.000401097	0.000088302	0.000786510	0.030000000
Vulpes chama	0.000393798	0.000050863	0.000794385	0.030000000
Vulpes corsac	0.000102107	0.000000867	0.000316441	0.000000000
Vulpes ferrilata	0.000105450	0.000000121	0.000330223	0.000000000
Vulpes lagopus	0.000635236	0.000218239	0.001153790	0.050000000
Vulpes macrotis	0.000394889	0.000052804	0.000794110	0.030000000
Vulpes pallida	0.000095200	0.000000597	0.000270736	0.000000000
Vulpes rueppellii	0.000202343	0.000006539	0.000470296	0.010000000
Vulpes velox	0.000402731	0.000069083	0.000794629	0.030000000
Vulpes vulpes	0.000307915	0.000043235	0.000663400	0.020000000
Vulpes zerda	0.000182051	0.000003001	0.000456288	0.010000000
Zalophus californianus	0.000318934	0.000038115	0.000668945	0.020000000
Zalophus wollebaeki	0.002315572	0.001358265	0.003307381	0.200000000
