species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_3019AD
Mustela frenata	0.005008187	0.000156960	0.019192647	0.760000000
Mustela itatsi	0.013900405	0.000003967	0.022391057	0.890000000
Mustela kathiah	0.003887335	0.000101189	0.012776855	0.690000000
Mustela lutreola	0.002208611	0.000157186	0.004792933	0.960000000
Mustela lutreolina	0.004381743	0.000045070	0.013891049	0.710000000
Mustela nigripes	0.003737721	0.000159151	0.008363487	0.830000000
Mustela nivalis	0.006143812	0.000038571	0.020890908	0.740000000
Mustela nudipes	0.005779543	0.000027030	0.018849165	0.620000000
Mustela putorius	0.008988025	0.000048881	0.026539507	0.670000000
Mustela russelliana	0.006596538	0.000155016	0.009373515	0.820000000
Mustela sibirica	0.005620753	0.000052353	0.015215296	0.640000000
Mustela strigidorsa	0.008325618	0.000094268	0.016895012	0.630000000
Mustela subpalmata	0.010580847	0.000032275	0.026471257	0.700000000
Mustela tonkinensis	0.003960141	0.000142575	0.013355309	0.800000000
Mydaus javanensis	0.005708490	0.000113659	0.016216421	0.710000000
Mydaus marchei	0.007061235	0.000413380	0.017488834	0.620000000
Nandinia binotata	0.003664572	0.000031432	0.013205772	0.590000000
Nasua narica	0.006260024	0.000002525	0.021611902	0.630000000
Nasua nasua	0.010499994	0.000000269	0.036416762	0.690000000
Nasuella meridensis	0.004185323	0.000145945	0.008970395	0.830000000
Nasuella olivacea	0.003537709	0.000009101	0.012799694	0.740000000
Neofelis diardi	0.004696592	0.000102865	0.015118464	0.720000000
Neofelis nebulosa	0.004672139	0.000147736	0.018094823	0.800000000
Neomonachus schauinslandi	0.003377312	0.000081958	0.009847394	0.830000000
Neophoca cinerea	0.006351293	0.000249890	0.016143680	0.870000000
Neovison vison	0.004957745	0.000036374	0.017723281	0.670000000
Nyctereutes procyonoides	0.007318947	0.000036320	0.017657810	0.570000000
Odobenus rosmarus	0.018705745	0.000069336	0.035050864	0.730000000
Ommatophoca rossii	0.004958588	0.000028669	0.017440903	0.610000000
Otaria byronia	0.003541419	0.000223717	0.011539233	0.470000000
Otocolobus manul	0.008209485	0.000050925	0.020166359	0.700000000
Otocyon megalotis	0.003911930	0.000071770	0.012473248	0.550000000
Pagophilus groenlandicus	0.016633598	0.000009315	0.050707681	0.570000000
Paguma larvata	0.005356327	0.000029064	0.013481806	0.560000000
Panthera leo	0.013914508	0.000020214	0.013193522	0.750000000
Panthera leo	0.004526540	0.000033308	0.018573522	0.790000000
Panthera onca	0.005015851	0.000030496	0.016956019	0.620000000
Panthera pardus	0.003750756	0.000001277	0.012828388	0.770000000
Panthera tigris	0.007300527	0.000090328	0.009567278	0.810000000
Panthera uncia	0.004187755	0.000003592	0.014647213	0.800000000
Paracynictis selousi	0.006997996	0.000029952	0.021583839	0.680000000
Paradoxurus hermaphroditus	0.005134080	0.000013269	0.017305118	0.630000000
Paradoxurus jerdoni	0.012415358	0.000123211	0.029296590	0.630000000
Paradoxurus zeylonensis	0.004501312	0.000232433	0.017349876	0.620000000
Parahyaena brunnea	0.004118652	0.000055569	0.014259962	0.670000000
Pardofelis marmorata	0.003751945	0.000097966	0.012185958	0.710000000
Phoca largha	0.013168239	0.000044185	0.032876205	0.570000000
Phoca vitulina	0.004781598	0.000164191	0.014008350	0.530000000
Phocarctos hookeri	0.002276498	0.000072521	0.006325811	0.760000000
Poecilogale albinucha	0.005377514	0.000028136	0.016545933	0.740000000
Poiana leightoni	0.004512372	0.000011397	0.013652524	0.770000000
Poiana richardsonii	0.006810456	0.000114182	0.025616555	0.750000000
Potos flavus	0.006046119	0.000107771	0.018510320	0.600000000
Prionailurus bengalensis	0.009695040	0.000069068	0.020802972	0.660000000
Prionailurus planiceps	0.002733985	0.000002586	0.007204551	0.950000000
Prionailurus rubiginosus	0.005016674	0.000005299	0.014946604	0.730000000
Prionailurus viverrinus	0.003657673	0.000129820	0.010604926	0.810000000
Prionodon linsang	0.007688149	0.000009278	0.024284269	0.670000000
Prionodon pardicolor	0.010717359	0.000303079	0.023263353	0.740000000
Procyon cancrivorus	0.006205564	0.000010345	0.021490929	0.710000000
Procyon lotor	0.003415801	0.000026470	0.011701807	0.630000000
Procyon pygmaeus	0.002244988	0.000182425	0.004969872	0.970000000
Proteles cristata	0.004875599	0.000098446	0.020983304	0.670000000
Pteronura brasiliensis	0.003644350	0.000012289	0.008089248	0.930000000
Puma concolor	0.007450292	0.000135753	0.015678864	0.600000000
Pusa caspica	0.003643299	0.000107325	0.010732034	0.710000000
Pusa hispida	0.010735944	0.000045906	0.010525299	0.370000000
Pusa sibirica	0.004458718	0.000009780	0.018554442	0.430000000
Rhynchogale melleri	0.010582364	0.000006459	0.026348181	0.790000000
Salanoia concolor	0.005003737	0.000104015	0.010572520	0.820000000
Speothos venaticus	0.004038109	0.000186748	0.011848402	0.710000000
Spilogale angustifrons	0.007052130	0.000067999	0.020828268	0.690000000
Spilogale gracilis	0.008717732	0.000240496	0.036629923	0.720000000
Spilogale putorius	0.003255046	0.000097199	0.008791382	0.880000000
Spilogale pygmaea	0.008576415	0.000007034	0.028667943	0.810000000
Suricata suricatta	0.003802576	0.000161358	0.010970396	0.560000000
Taxidea taxus	0.009154549	0.000104253	0.019555240	0.570000000
Tremarctos ornatus	0.003997289	0.000008569	0.011115220	0.630000000
Urocyon cinereoargenteus	0.015350029	0.000065905	0.035870371	0.680000000
Urocyon littoralis	0.018043537	0.000012851	0.028327329	0.780000000
Ursus americanus	0.004356317	0.000165152	0.017269511	0.610000000
Ursus arctos	0.003767580	0.000077168	0.013215974	0.510000000
Ursus maritimus	0.012704163	0.000099338	0.018673383	0.750000000
Ursus thibetanus	0.003006404	0.000061731	0.009756298	0.660000000
Viverra civettina	0.002293187	0.000032102	0.005498989	0.950000000
Viverra megaspila	0.004298048	0.000413717	0.008611513	0.890000000
Viverra tangalunga	0.010084388	0.000317540	0.020055159	0.590000000
Viverra zibetha	0.010170975	0.000204066	0.025947683	0.660000000
Viverricula indica	0.004524064	0.000121383	0.015247299	0.700000000
Vormela peregusna	0.003034304	0.000051379	0.009014611	0.830000000
Vulpes bengalensis	0.004453347	0.000347385	0.015074324	0.640000000
Vulpes cana	0.004185035	0.000208292	0.014719262	0.660000000
Vulpes chama	0.009470607	0.000081283	0.022042091	0.730000000
Vulpes corsac	0.009791775	0.000145243	0.018937130	0.660000000
Vulpes ferrilata	0.004589665	0.000021711	0.014680820	0.590000000
Vulpes lagopus	0.008317956	0.000036410	0.023904181	0.740000000
Vulpes macrotis	0.004407564	0.000007844	0.014706725	0.710000000
Vulpes pallida	0.005200338	0.000379854	0.018836327	0.690000000
Vulpes rueppellii	0.004489730	0.000048910	0.015809288	0.680000000
Vulpes velox	0.004912176	0.000033612	0.018114433	0.570000000
Vulpes vulpes	0.004310131	0.000074446	0.015478689	0.690000000
Vulpes zerda	0.006599337	0.000030413	0.024317269	0.620000000
Zalophus californianus	0.003615993	0.000083471	0.013410385	0.490000000
Zalophus wollebaeki	0.002973914	0.000173053	0.009270187	0.790000000
