species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Dipturus innominatus	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Zearaja nasutus	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Echinorhinus brucus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Echinorhinus cookei	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Etmopterus caudistigmus	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Etmopterus dianthus	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Etmopterus dislineatus	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Etmopterus evansi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Etmopterus fusus	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Etmopterus pseudosqualiolus	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Eusphyra blochii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NT	NA	NA	NA	NA	NA	NA
Figaro boardmani	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Galeus gracilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA
Gogolia filewoodi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Gollum attenuatus	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Hemigaleus microstoma	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Hemiscyllium ocellatum	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Hemiscyllium strahani	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA
Hemiscyllium trispeculare	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Hemitriakis abdita	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA
Hemitriakis falcata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Heptranchias perlo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Heterodontus galeatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Heterodontus zebra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Hydrolagus bemisi	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Hydrolagus novaezealandiae	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Hypnos monopterygius	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Iago garricki	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Isistius brasiliensis	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Loxodon macrorhinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Mobula eregoodoo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Nebrius ferrugineus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA
Negaprion acutidens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA
Orectolobus maculatus	LC	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Orectolobus ornatus	LC	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Orectolobus wardi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Oxynotus bruniensis	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Parascyllium collare	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Parascyllium ferrugineum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Parascyllium sparsimaculatum	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Parascyllium variolatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Parmaturus macmillani	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Pristiophorus nudipinnis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Rhina ancylostoma	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Rhizoprionodon acutus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Rhizoprionodon oligolinx	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Rhizoprionodon taylori	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Rhynchobatus australiae	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA
Rhynchobatus laevis	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Scymnodalatias albicauda	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Scymnodalatias sherwoodi	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Somniosus antarcticus	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Squaliolus aliae	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Squalus megalops	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA
Squalus melanurus	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
