species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Nesolestes pauliani	EN	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Neurocordulia michaeli	LC	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nothodiplax dendrophila	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychogomphus kitchingmani	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paragomphus cataractae	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paragomphus zambeziensis	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parazyxomma flavicans	NA	CR	I	I	I	NA	LC	LC	I	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phyllopetalia altarensis	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phyllopetalia excrescens	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phyllopetalia pudu	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Phyllopetalia stictica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA
Elattoneura flavifacies	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Progomphus serenus	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Progomphus tennesseni	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Proneura prolongata	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Protoneura capillaris	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Protoneura sanguinipes	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Pseudagrion arabicum	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA
Pseudagrion coeruleipunctum	LC	NA	NA	NA	NA	NA	DD	DD	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudagrion guichardi	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudagrion vumbaense	NA	NA	NA	NA	NA	EN	VU	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Risiocnemis seidenschwarzi	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Sciotropis cyclanthorum	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sciotropis lattkei	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Sinhalestes orientalis	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Somatochlora borisi	NA	NA	NA	NA	NA	NA	VU	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA
Stenocora percornuta	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Cornigomphus guineensis	LC	EN	I	I	I	NA	DD	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudagrion superbum	NA	DD	K	K	K	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA
Tetrathemis yerburii	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aciagrion africanum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Aciagrion gracile	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aciagrion heterostictum	NA	NA	NA	NA	NA	LC	LC	LC	NA	LC	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aciagrion steeleae	LC	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acisoma trifidum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Pinheyschna rileyi	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afroaeschna scotias	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aethiothemis bequaerti	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Aethiothemis palustris	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Aethiothemis solitaria	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Aethriamanta rezia	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africallagma glaucum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africallagma pseudelongatum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Africallagma sinuatum	LC	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africallagma subtile	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Africallagma vaginale	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Agriocnemis exilis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Agriocnemis gratiosa	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Agriocnemis inversa	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agriocnemis maclachlani	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agriocnemis palaeforma	NA	NA	NA	NA	NA	NA	NT	NT	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agriocnemis pinheyi	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agriocnemis sania	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agriocnemis victoria	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agriocnemis zerafica	LC	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anaciaeschna triangulifera	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anax chloromelas	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Anax ephippiger	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA
Anax imperator	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Anax tristis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Atoconeura biordinata	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atoconeura eudoxia	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atoconeura kenya	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atoconeura pseudeudoxia	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Azuragrion nigridorsum	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Azuragrion vansomereni	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Brachythemis lacustris	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brachythemis leucosticta	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Brachythemis wilsoni	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Bradinopyga cornuta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Bradinopyga strachani	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion bakeri	LC	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion corallinum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion glabrum	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA
Ceriagrion kordofanicum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion suave	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion whellani	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalcostephia flavifrons	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis abbotti	NA	NA	NA	NA	NA	NA	NT	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elattoneura cellularis	NA	NA	NA	NA	NA	NA	LC	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis marshalli	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis montana	NA	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis nigripes	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis pauli	NA	NA	NA	NA	NA	NA	LC	NT	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis superba	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorocypha cancellata	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorocypha consueta	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorocypha curta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stenocypha hasta	NA	NA	NA	NA	NA	EN	VU	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stenocypha jacksoni	NA	NA	NA	NA	NA	NA	NT	VU	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stenocypha molindica	NA	NA	NA	NA	NA	NA	NT	EN	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorocypha schmidti	NA	NA	NA	NA	NA	EN	VU	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stenocypha tenuis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorocypha trifaria	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorocypha victoriae	NA	NA	NA	NA	NA	NA	LC	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorolestes elegans	NA	NA	NA	NA	NA	NT	VU	NT	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coryphagrion grandis	NA	NA	NA	NA	NA	VU	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crenigomphus hartmanni	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crenigomphus renei	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocothemis divisa	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocothemis erythraea	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA
Crocothemis sanguinolenta	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Crocothemis saxicolor	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diplacodes deminuta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diplacodes lefebvrii	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Elattoneura glauca	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elattoneura nigra	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gomphidia bredoi	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gomphidia quarrei	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha africana	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha cylindrata	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gynacantha immaculifrons	LC	NA	NA	NA	NA	NA	LC	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha manderica	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha nigeriensis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha sextans	LC	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha usambarica	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gynacantha vesiculata	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gynacantha villosa	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hadrothemis camarensis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hadrothemis coacta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hadrothemis defecta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hadrothemis infesta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hadrothemis scabrifrons	NA	NA	NA	NA	NA	NA	LC	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hadrothemis versuta	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliaeschna cynthiae	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliaeschna fuliginosa	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Heliaeschna trinervulata	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliaeschna ugandica	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hemistigma albipunctum	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ictinogomphus ferox	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ictinogomphus regisalberti	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Idomacromia jillianae	NA	NA	NA	NA	NA	NA	DD	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ischnura senegalensis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Lestes amicus	LC	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes dissimulans	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes ictericus	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Lestes ochraceus	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes pallidus	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Lestes pinheyi	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes plagiatus	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes tridens	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes uncifer	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestes virgatus	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lestinogomphus angustus	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aethiothemis coryndoni	NA	NA	NA	NA	NA	NA	LC	EN	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malgassophlebia bispina	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Mesocnemis singularis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microgomphus nyassicus	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microgomphus schoutedeni	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Micromacromia camerunica	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Micromacromia miraculosa	NA	NA	NA	NA	NA	NA	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neodythemis afra	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neodythemis preussi	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepogomphoides stuhlmanni	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nesciothemis farinosa	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA
Mastigogomphus dissimilis	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neurogomphus featheri	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mastigogomphus pinheyi	NA	NA	NA	NA	NA	NA	DD	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neurogomphus zambeziensis	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notiothemis jonesi	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notiothemis robertsi	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus dendrohyrax	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus dorsalis	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Notogomphus flavifrons	NA	NA	NA	NA	NA	NA	DD	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus kilimandjaricus	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Notogomphus lecythus	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus leroyi	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus lujai	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus praetorius	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus maathaiae	NA	NA	NA	NA	NA	NA	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notogomphus zernyi	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zygonoides fraseri	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zygonoides fuelleborni	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Olpogastra lugubris	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychogomphus pilosus	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychogomphus styx	NA	NA	NA	NA	NA	NA	LC	NT	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychogomphus supinus	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oreocnemis phoenix	NA	NA	NA	NA	NA	EN	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum abbotti	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum angustiventre	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum austeni	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Orthetrum brachiale	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum caffrum	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA
Orthetrum camerunense	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum chrysostigma	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum guineense	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Orthetrum hintzi	NA	NA	NA	NA	NA	NA	LC	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
