species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Stylurus potulentus	NA	VU	V	V	V	VU	NA	NA	V	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylurus townesi	NA	VU	R	R	R	LC	NA	NA	R	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sympetrum dilatatum	NA	EX	Ex?	Ex?	Ex?	NA	NA	NA	Ex?	NA	NA	NA	NA	NA	CR	NA	NA	NA	DD	NA	NA
Thaumatoneura inopinata	NA	EN	I	I	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Trithemis hartwigi	NA	EN	I	I	I	LC	DD	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trithemis nigra	NA	CR	I	I	I	NT	CR	CR	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Urothemis luciana	NA	DD	V	V	NA	NT	DD	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Urothemis thomasi	NA	DD	K	K	K	EN	NA	EN	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Williamsonia lintneri	NA	VU	V	V	V	LC	NA	NA	V	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinocypha latimacula	NA	EN	I	NA	NA	NA	NA	VU	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epigomphus verticicornis	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudagrion camerunense	NA	EN	I	I	I	NA	LC	LC	I	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Perigomphus pallidistylus	NA	EN	I	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macromidia ishidai	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Stenogomphurus consanguis	NA	VU	R	R	R	LC	NA	NA	R	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gomphurus lynnae	NA	EN	R	R	NA	LC	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gomphurus modestus	LC	LR/nt	R	R	R	NA	NA	LC	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hylogomphus geminatus	NA	LR/nt	R	R	R	LC	NA	NA	R	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hylogomphus parvidens	LC	LR/nt	R	R	R	NA	NA	LC	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Metacnemis valida	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	EN	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Teinobasis alluaudi	NA	CR	E	E	E	LC	NA	VU	E	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Pseudagrion newtoni	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	VU	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA
Ceratogomphus triceraticus	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	VU	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA
Aethiothemis basilewskyi	NA	DD	K	K	K	NA	LC	DD	K	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Africallagma cuneistigma	NA	NA	NA	NA	NA	CR	VU	EN	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allocnemis mitwabae	NA	NA	NA	NA	NA	EN	NT	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atoconeura aethiopica	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hemigomphus atratus	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion annulatum	LC	EN	I	I	I	NA	LC	LC	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion georgifreyi	NA	NA	NA	NA	NA	NA	VU	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coenagriocnemis insularis	EN	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coenagrion australocaspicum	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coenagrion persicum	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trithemis apicalis	NA	DD	K	K	K	NA	LC	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cordulegaster helladica	NA	NA	NA	NA	NA	NA	EN	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cordulegaster sayi	NA	VU	E	E	E	LC	NA	NA	V	NA	VU	NA	NA	NA	NA	NA	V	NA	NA	NA	NA
Cordulegaster trinacriae	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cordulegaster vanbrinkae	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crenigomphus abyssinicus	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crenigomphus denticulatus	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diceratobasis macrogaster	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diceratobasis melanogaster	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicterias atrosanguinea	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elattoneura pasquinii	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enallagma maldivense	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	CR	DD	NA	NA	NA	NA	NA	NA
Erythrodiplax bromeliicola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA
Gomphurus gonzalezi	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gomphus kinzelbachi	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
