species	2013	1996	1994	2016	1990	1988	1986	1982	2017	2011	2014	2018	2009	2006	2010	2004	2000	2012	2002	2019	2015	2020	2007	2008	2003
Cuora pani	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Cuora yunnanensis	NA	DD	K	NA	K	K	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA
Cuora amboinensis	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Cuora aurocapitata	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Cuora flavomarginata	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA
Cuora mccordi	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Cuora trifasciata	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Cuora zhoui	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Cyclanorbis elegans	NA	LR/nt	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclanorbis senegalensis	NA	LR/nt	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cycloderma frenatum	NA	LR/nt	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oligosoma alani	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oligosoma macgregori	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oligosoma oliveri	NA	LR/lc	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oligosoma whitakeri	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Cyclura carinata	NA	CR	R	NA	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclura collei	NA	CR	E	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclura nubila	NA	VU	V	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclura pinguis	NA	CR	E	NA	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclura ricordii	NA	CR	I	NA	I	I	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Cyclura rileyi	NA	EN	I	NA	T	T	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclura cychlura	NA	VU	R	NA	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclura cornuta	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Cylindraspis indica	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cylindraspis inepta	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cylindraspis peltastes	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
