species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2011	2010	2006	2007	2005	2002	2014	2001	2003
Pipile jacutinga	EN	EN	EN	EN	VU	VU	T	EN	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aburria aburri	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaepetes unicolor	NT	NT	NT	NT	LR/nt	LR/nt	NT	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaepetes goudotii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelopina nigra	VU	VU	VU	NT	LR/nt	LR/lc	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA
Oreophasis derbianus	EN	EN	EN	EN	EN	VU	T	NA	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nothocrax urumutum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mitu tomentosum	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mitu salvini	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mitu tuberosum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pauxi pauxi	EN	EN	EN	VU	VU	EN	T	NA	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crax rubra	VU	VU	NT	NT	LR/nt	LR/lc	LR/lc	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crax alberti	CR	CR	CR	CR	CR	CR	T	CR	NA	CR	NA	CR	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA
Crax daubentoni	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crax alector	VU	VU	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crax globulosa	EN	EN	VU	VU	VU	VU	T	NA	NA	VU	NA	EN	NA	NA	EN	VU	NA	NA	NA	NA	NA	NA
Crax blumenbachii	EN	EN	EN	EN	EN	CR	T	NA	NA	CR	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alectura lathami	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aepypodius arfakianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aepypodius bruijnii	EN	EN	EN	VU	VU	VU	T	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA
Talegalla cuvieri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Talegalla fuscirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Talegalla jobiensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macrocephalon maleo	EN	EN	EN	EN	VU	VU	T	NA	NA	VU	NA	EN	NA	NA	NA	NA	EN	NA	EN	NA	NA	NA
Megapodius nicobariensis	VU	VU	VU	VU	VU	VU	T	NA	NA	VU	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius cumingii	LC	LC	LC	LC	LR/lc	LR/nt	NT	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius bernsteinii	VU	VU	NT	NT	LR/nt	LR/nt	T	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius freycinet	LC	LC	LC	LC	LR/lc	NR	NR	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius decollatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius eremita	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius layardi	VU	VU	VU	VU	VU	VU	LR/lc	NA	NA	VU	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA
Megapodius laperouse	EN	EN	EN	EN	EN	VU	T	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megapodius pritchardii	EN	EN	EN	EN	CR	EN	T	NA	EN	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eulipoa wallacei	VU	VU	VU	VU	VU	VU	T	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leipoa ocellata	VU	VU	VU	VU	VU	VU	T	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lerwa lerwa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammoperdix griseogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammoperdix heyi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraogallus caucasicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraogallus caspius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraogallus tibetanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraogallus altaicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraogallus himalayensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraophasis obscurus	LC	LC	LC	LC	LR/lc	LR/nt	NT	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetraophasis szechenyii	LC	LC	LC	LC	LR/lc	LR/nt	NT	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alectoris graeca	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NT	NA	NA	NT	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alectoris chukar	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alectoris philbyi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
