species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Mydaus javanensis	0.010897640	0.000214625	0.032591426	0.031300000
Mydaus marchei	0.010008467	0.000156262	0.028892511	0.019000000
Nandinia binotata	0.010967180	0.000120590	0.031893999	0.020100000
Nasua narica	0.010889534	0.000066071	0.031516321	0.017500000
Nasua nasua	0.009894876	0.000076251	0.029673744	0.018700000
Nasuella meridensis	0.036301260	0.000037452	0.141459150	0.335800000
Nasuella olivacea	0.013026814	0.000131150	0.039967662	0.091700000
Neofelis diardi	0.017648916	0.000087603	0.051955860	0.160800000
Neofelis nebulosa	0.017762001	0.000033106	0.052841514	0.160900000
Neomonachus schauinslandi	0.029349836	0.000043974	0.104511956	0.262900000
Neophoca cinerea	0.031572069	0.000122702	0.113917284	0.296200000
Neovison vison	0.011117456	0.000007762	0.032029983	0.029700000
Nyctereutes procyonoides	0.009947795	0.000155790	0.031294868	0.026600000
Odobenus rosmarus	0.016239046	0.000077639	0.046204930	0.113300000
Ommatophoca rossii	0.011034471	0.000267702	0.032113016	0.019300000
Otaria byronia	0.010673231	0.000074521	0.030601098	0.014200000
Otocolobus manul	0.012647396	0.000021306	0.039451763	0.103800000
Otocyon megalotis	0.010846102	0.000002409	0.031961023	0.021200000
Pagophilus groenlandicus	0.009439521	0.000010515	0.029459461	0.012500000
Paguma larvata	0.010916632	0.000002254	0.031068403	0.017400000
Panthera leo	0.016139965	0.000033380	0.045322369	0.128900000
Panthera leo	0.017649968	0.000062554	0.051209210	0.136400000
Panthera onca	0.012369881	0.000035651	0.036091192	0.075200000
Panthera pardus	0.016798720	0.000015426	0.049238044	0.143100000
Panthera tigris	0.030490799	0.000147420	0.107337887	0.271200000
Panthera uncia	0.018374717	0.000087675	0.054581726	0.164200000
Paracynictis selousi	0.010248939	0.000015810	0.031855337	0.027800000
Paradoxurus hermaphroditus	0.011945933	0.000237936	0.033192832	0.021300000
Paradoxurus jerdoni	0.010387948	0.000077071	0.031346962	0.024900000
Paradoxurus zeylonensis	0.011708502	0.000324982	0.032295613	0.019500000
Parahyaena brunnea	0.012493407	0.000147182	0.035077252	0.075200000
Pardofelis marmorata	0.013236444	0.000094583	0.042549784	0.113400000
Phoca largha	0.009933096	0.000007157	0.031030594	0.015400000
Phoca vitulina	0.010035647	0.000009397	0.030290938	0.014900000
Phocarctos hookeri	0.028895537	0.000031928	0.104386828	0.278100000
Poecilogale albinucha	0.011918815	0.000399271	0.034326421	0.031200000
Poiana leightoni	0.017866266	0.000013640	0.052055853	0.155400000
Poiana richardsonii	0.010514334	0.000032279	0.030919449	0.032200000
Potos flavus	0.009791632	0.000034842	0.030118442	0.015800000
Prionailurus bengalensis	0.010869553	0.000112556	0.031727150	0.021700000
Prionailurus planiceps	0.043120662	0.000032749	0.181266025	0.400100000
Prionailurus rubiginosus	0.013211090	0.000029677	0.041294460	0.101500000
Prionailurus viverrinus	0.021002938	0.000054851	0.067424692	0.222700000
Prionodon linsang	0.010371547	0.000032701	0.031899015	0.029100000
Prionodon pardicolor	0.010589380	0.000093431	0.032907427	0.030600000
Procyon cancrivorus	0.010666103	0.000082210	0.032728350	0.022800000
Procyon lotor	0.009787113	0.000077720	0.029926777	0.020900000
Procyon pygmaeus	0.134724590	0.000014771	0.624482333	0.796000000
Proteles cristata	0.010789263	0.000047683	0.030514972	0.018900000
Pteronura brasiliensis	0.045390249	0.000003628	0.191309938	0.411300000
Puma concolor	0.010021505	0.000000569	0.029623934	0.020800000
Pusa caspica	0.021659921	0.000292764	0.064760209	0.172700000
Pusa hispida	0.009776315	0.000009189	0.030515871	0.011900000
Pusa sibirica	0.010325091	0.000242383	0.031305811	0.009500000
Rhynchogale melleri	0.011239917	0.000021392	0.034682767	0.027500000
Salanoia concolor	0.020226579	0.000035930	0.067337017	0.233100000
Speothos venaticus	0.014909722	0.000200585	0.044643614	0.122100000
Spilogale angustifrons	0.009969030	0.000061685	0.031490427	0.025100000
Spilogale gracilis	0.010945452	0.000065960	0.031651645	0.031100000
Spilogale putorius	0.021121433	0.000013096	0.071805279	0.234000000
Spilogale pygmaea	0.019615591	0.000195424	0.060507863	0.204100000
Suricata suricatta	0.010721202	0.000334111	0.030348365	0.027000000
Taxidea taxus	0.010121396	0.000040050	0.031244842	0.017200000
Tremarctos ornatus	0.015877923	0.000043050	0.044038198	0.112500000
Urocyon cinereoargenteus	0.011110408	0.000111586	0.031967826	0.024200000
Urocyon littoralis	0.015444017	0.000295897	0.044101390	0.131400000
Ursus americanus	0.010020426	0.000008811	0.029197057	0.014800000
Ursus arctos	0.009971801	0.000099509	0.030430938	0.013800000
Ursus maritimus	0.015710732	0.000088943	0.043630561	0.108400000
Ursus thibetanus	0.016729417	0.000321064	0.046459916	0.119700000
Viverra civettina	0.110008310	0.000018190	0.541950501	0.724600000
Viverra megaspila	0.038548354	0.000173057	0.154126837	0.356600000
Viverra tangalunga	0.010663398	0.000001557	0.031766441	0.022800000
Viverra zibetha	0.010321090	0.000036478	0.031073694	0.019700000
Viverricula indica	0.010167436	0.000024156	0.031949857	0.029000000
Vormela peregusna	0.020611098	0.000144108	0.067835052	0.235000000
Vulpes bengalensis	0.010483511	0.000050306	0.031895403	0.030400000
Vulpes cana	0.011208574	0.000027185	0.033076839	0.029100000
Vulpes chama	0.010540808	0.000026507	0.030528161	0.031800000
Vulpes corsac	0.010604084	0.000242075	0.033032650	0.027100000
Vulpes ferrilata	0.010315603	0.000033338	0.030826906	0.030000000
Vulpes lagopus	0.011310372	0.000054320	0.032143235	0.023000000
Vulpes macrotis	0.010650913	0.000059427	0.032221598	0.024800000
Vulpes pallida	0.011499544	0.000013944	0.032149366	0.031000000
Vulpes rueppellii	0.010773748	0.000057997	0.032667572	0.025800000
Vulpes velox	0.010674238	0.000187636	0.031922686	0.021600000
Vulpes vulpes	0.010867828	0.000040193	0.031970241	0.022900000
Vulpes zerda	0.010619795	0.000017708	0.032206631	0.028400000
Zalophus californianus	0.010561589	0.000006830	0.031615343	0.012600000
Zalophus wollebaeki	0.025523427	0.000037962	0.087565229	0.228400000
