species	2016	2008	1996	1994	2015	2002	1990	1988	1986	2004	2019	2000	2013	2006	1965	1992	2017	2003	2018	2014	1982	2007	2009	2010	2012	2011
Caluromys lanatus		LC	LR/nt		LC																					
Caluromys philander		LC	LR/nt		LC																					
Caluromysiops irrupta		LC	VU		LC																					
Calyptophractus retusus		NT	VU	K			K	K	K					NT						DD	K			DD		
Camelus ferus		CR	EN	V		CR	V	V	V													CR				
Canis adustus		LC	LR/lc							LC										LC						
Canis aureus																			LC							
Canis latrans		LC	LR/lc							LC									LC							
Canis lupaster											LC															
Canis lupus		LC	LR/lc	V			V	V	V	LC									LC		V			LC		
Canis mesomelas		LC	LR/lc							LC										LC						
Canis rufus		CR	CR	E			E	E	E	CR									CR		E					
Canis simensis		EN	CR	E			E	E	E	EN																EN
Cannomys badius	LC	LC	LR/lc																							
Cansumys canus	LC	LC	LR/lc																							
Caperea marginata		DD	LR/lc	K															LC							
Capra aegagrus		VU	VU																							
Capra caucasica		EN	EN	R																						
Capra cylindricornis		NT	VU	R																						
Capra falconeri		EN	EN	E	NT		V	V	V																	
Capra ibex		LC	LR/lc																							
Capra nubiana		VU	EN	I																						
Capra pyrenaica		LC	LR/nt																							
Capra sibirica		LC	LR/lc																							
Capra walie		EN	CR	E				E	E																	
Capreolus capreolus	LC	LC	LR/lc																							
Capreolus pygargus	LC	LC	LR/lc																							
Capricornis crispus		LC	LR/cd																							
Capricornis milneedwardsii		NT	VU																							
Capricornis rubidus		NT	EN																							
Capricornis sumatraensis		VU	EN	E			E	E	E																	
Capricornis swinhoei		LC	VU	V			V	V																		
Capricornis thar		NT	VU																							
Caprolagus hispidus		EN	EN	E			E	E	E		EN															
Capromys pilorides		LC	LR/lc																							
Caracal aurata		NT	LR/lc	K	VU	VU																				
Caracal caracal	LC	LC	LR/lc			LC																				
Cardiocranius paradoxus	DD	DD	VU																							
