species	EN_p_ext_0
Anisognathus notabilis	0.011095167095
Anisognathus somptuosus	0.011095167095
Anodorhynchus glaucus	0.004850771486
Anodorhynchus hyacinthinus	0.003945487753
Anodorhynchus leari	0.004009288475
Anomalospiza imberbis	0.011095167095
Anopetia gounellei	0.011095167095
Anorrhinus austeni	0.007788138841
Anorrhinus galeritus	0.006828827783
Anorrhinus tickelli	0.007515348085
Anous albivittus	0.008801904129
Anous ceruleus	0.008736428899
Anous minutus	0.005245293698
Anous stolidus	0.004236501956
Anous tenuirostris	0.007264566112
Anser albifrons	0.005298852985
Anser anser	0.005614849978
Anser brachyrhynchus	0.003816269568
Anser caerulescens	0.005079332729
Anser canagicus	0.005557515323
Anser cygnoid	0.004722448952
Anser erythropus	0.005851920135
Anser fabalis	0.005344541756
Anser indicus	0.007354350114
Anser rossii	0.007114025991
Anseranas semipalmata	0.005464962154
Anthipes monileger	0.011095167095
Anthipes solitaris	0.011095167095
Anthobaphes violacea	0.011095167095
Anthocephala floriceps	0.011095167095
Anthochaera carunculata	0.010534698701
Anthochaera chrysoptera	0.010755578846
Anthochaera lunulata	0.011095167095
Anthochaera paradoxa	0.010320320963
Anthochaera phrygia	0.011095167095
Anthornis melanura	0.011095167095
Anthoscopus caroli	0.011095167095
Anthoscopus flavifrons	0.011095167095
Anthoscopus minutus	0.011095167095
Anthoscopus musculus	0.011095167095
Anthoscopus parvulus	0.011095167095
Anthoscopus punctifrons	0.011095167095
Anthoscopus sylviella	0.011095167095
Anthracoceros albirostris	0.007194302033
Anthracoceros coronatus	0.008256403376
Anthracoceros malayanus	0.007486352570
Anthracoceros marchei	0.008000350720
Anthracoceros montani	0.007631001029
Anthracothorax aurulentus	0.011095167095
Anthracothorax dominicus	0.011095167095
Anthracothorax mango	0.011095167095
Anthracothorax nigricollis	0.011095167095
Anthracothorax prevostii	0.011095167095
Anthracothorax veraguensis	0.011095167095
Anthracothorax viridigula	0.011095167095
Anthracothorax viridis	0.011095167095
Anthreptes anchietae	0.011095167095
Anthreptes aurantius	0.011095167095
Anthreptes gabonicus	0.011095167095
Anthreptes griseigularis	0.011095167095
Anthreptes longuemarei	0.011095167095
Anthreptes malacensis	0.011095167095
Anthreptes neglectus	0.011095167095
Anthreptes orientalis	0.011095167095
Anthreptes rectirostris	0.011095167095
Anthreptes reichenowi	0.011095167095
Anthreptes rhodolaemus	0.011095167095
Anthreptes rubritorques	0.011095167095
Anthreptes seimundi	0.011095167095
Anthreptes simplex	0.011095167095
Anthreptes tephrolaemus	0.011095167095
Anthropoides paradiseus	0.003797112473
Anthropoides virgo	0.005209171420
Anthus antarcticus	0.011095167095
Anthus berthelotii	0.011095167095
Anthus bogotensis	0.011095167095
Anthus brachyurus	0.011095167095
Anthus caffer	0.011095167095
Anthus campestris	0.011095167095
Anthus cervinus	0.011095167095
Anthus chacoensis	0.011095167095
Anthus cinnamomeus	0.011095167095
Anthus correndera	0.011095167095
Anthus crenatus	0.011095167095
Anthus furcatus	0.011095167095
Anthus godlewskii	0.011095167095
Anthus gustavi	0.011095167095
Anthus gutturalis	0.011095167095
Anthus hellmayri	0.011095167095
Anthus hodgsoni	0.011095167095
Anthus hoeschi	0.011095167095
Anthus leucophrys	0.011095167095
Anthus lineiventris	0.011095167095
Anthus lutescens	0.011095167095
Anthus melindae	0.011095167095
Anthus nattereri	0.011095167095
Anthus nilghiriensis	0.011095167095
Anthus novaeseelandiae	0.011095167095
Anthus nyassae	0.011095167095
Anthus pallidiventris	0.011095167095
Anthus peruvianus	0.011095167095
Anthus petrosus	0.011095167095
Anthus pratensis	0.011095167095
Anthus richardi	0.011095167095
Anthus roseatus	0.011095167095
Anthus rubescens	0.011095167095
Anthus rufulus	0.011095167095
Anthus similis	0.011095167095
Anthus sokokensis	0.011095167095
Anthus spinoletta	0.011095167095
Anthus spragueii	0.011095167095
Anthus sylvanus	0.011095167095
Anthus trivialis	0.011095167095
Anthus vaalensis	0.011095167095
Antigone antigone	0.002669608454
Antigone canadensis	0.003888423070
Antigone rubicunda	0.002722537019
Antigone vipio	0.003637124501
Antilophia bokermanni	0.011095167095
Antilophia galeata	0.011095167095
Antrostomus arizonae	0.011095167095
Antrostomus badius	0.011095167095
Antrostomus carolinensis	0.010942820632
Antrostomus cubanensis	0.011095167095
Antrostomus ekmani	0.011095167095
Antrostomus noctitherus	0.011095167095
Antrostomus ridgwayi	0.011095167095
Antrostomus rufus	0.010910717667
Antrostomus salvini	0.011095167095
Antrostomus saturatus	0.011095167095
Antrostomus sericocaudatus	0.011095167095
Antrostomus vociferus	0.011095167095
Anumara forbesi	0.011095167095
Anumbius annumbi	0.011095167095
Anurophasis monorthonyx	0.008789769263
Apalharpactes mackloti	0.009375091331
Apalharpactes reinwardtii	0.010497529596
Apalis alticola	0.011095167095
Apalis argentea	0.011095167095
Apalis bamendae	0.011095167095
Apalis binotata	0.011095167095
Apalis chapini	0.011095167095
Apalis chariessa	0.011095167095
Apalis chirindensis	0.011095167095
Apalis cinerea	0.011095167095
Apalis flavida	0.011095167095
Apalis flavigularis	0.011095167095
Apalis flavocincta	0.011095167095
Apalis fuscigularis	0.011095167095
Apalis goslingi	0.011095167095
Apalis jacksoni	0.011095167095
Apalis kaboboensis	0.011095167095
Apalis karamojae	0.011095167095
Apalis lynesi	0.011095167095
Apalis melanocephala	0.011095167095
Apalis nigriceps	0.011095167095
Apalis personata	0.011095167095
Apalis porphyrolaema	0.011095167095
Apalis ruddi	0.011095167095
Apalis rufogularis	0.011095167095
Apalis sharpii	0.011095167095
Apalis thoracica	0.011095167095
Apaloderma aequatoriale	0.011095167095
Apaloderma narina	0.011095167095
Apaloderma vittatum	0.011095167095
Apalopteron familiare	0.011095167095
Aphanotriccus audax	0.011095167095
Aphanotriccus capitalis	0.011095167095
Aphantochroa cirrochloris	0.011095167095
Aphelocephala leucopsis	0.011095167095
Aphelocephala nigricincta	0.011095167095
Aphelocephala pectoralis	0.011095167095
Aphelocoma californica	0.009361325788
Aphelocoma coerulescens	0.008585174331
Aphelocoma ultramarina	0.006215405613
Aphelocoma unicolor	0.008951975283
Aphelocoma wollweberi	0.007990324094
Aphrastura masafucrae	0.011095167095
Aphrastura spinicauda	0.011095167095
Aphrodroma brevirostris	0.005835850491
Aplonis atrifusca	0.010913385718
Aplonis brunneicapillus	0.011095167095
Aplonis cantoroides	0.011095167095
Aplonis cinerascens	0.011095167095
Aplonis crassa	0.011095167095
Aplonis dichroa	0.011095167095
Aplonis feadensis	0.011095167095
Aplonis grandis	0.010940138171
Aplonis insularis	0.011095167095
Aplonis magna	0.011095167095
Aplonis metallica	0.011095167095
Aplonis minor	0.011095167095
Aplonis mysolensis	0.011095167095
Aplonis mystacea	0.011095167095
Aplonis opaca	0.011095167095
Aplonis panayensis	0.011095167095
Aplonis pelzelni	0.011095167095
Aplonis santovestris	0.011095167095
Aplonis striata	0.011095167095
Aplonis tabuensis	0.011095167095
Aplonis zelandica	0.011095167095
Aplopelia larvata	0.008836760530
Aprositornis disjuncta	0.011095167095
