species	current_status
Callosciurus melanogaster	VU
Callosciurus nigrovittatus	LC
Callosciurus notatus	LC
Callosciurus orestes	LC
Callosciurus phayrei	LC
Callosciurus prevostii	LC
Callosciurus pygerythrus	LC
Callosciurus quinquestriatus	NT
Callospermophilus lateralis	LC
Callospermophilus madrensis	NT
Callospermophilus saturatus	LC
Calomys boliviae	LC
Calomys callidus	LC
Calomys callosus	LC
Calomys expulsus	LC
Calomys fecundus	LC
Calomys hummelincki	LC
Calomys laucha	LC
Calomys lepidus	LC
Calomys musculinus	LC
Calomys sorellus	LC
Calomys tener	LC
Calomys tocantinsi	LC
Calomys venustus	LC
Calomyscus bailwardi	LC
Calomyscus baluchi	LC
Calomyscus elburzensis	LC
Calomyscus grandis	DD
Calomyscus hotsoni	LC
Calomyscus mystax	LC
Calomyscus tsolovi	DD
Calomyscus urartensis	LC
Caluromys derbianus	LC
Caluromys lanatus	LC
Caluromys philander	LC
Caluromysiops irrupta	LC
Calyptophractus retusus	DD
Camelus ferus	CR
Canis adustus	LC
Canis aureus	LC
Canis latrans	LC
Canis lupaster	LC
Canis lupus	LC
Canis mesomelas	LC
Canis rufus	CR
Canis simensis	EN
Cannomys badius	LC
Cansumys canus	LC
Caperea marginata	LC
Capra aegagrus	VU
Capra caucasica	EN
Capra cylindricornis	NT
Capra falconeri	NT
Capra ibex	LC
Capra nubiana	VU
Capra pyrenaica	LC
Capra sibirica	LC
Capra walie	EN
Capreolus capreolus	LC
Capreolus pygargus	LC
Capricornis crispus	LC
Capricornis milneedwardsii	NT
Capricornis rubidus	NT
Capricornis sumatraensis	VU
Capricornis swinhoei	LC
Capricornis thar	NT
Caprolagus hispidus	EN
Capromys pilorides	LC
Caracal aurata	VU
Caracal caracal	LC
Cardiocranius paradoxus	DD
Cardioderma cor	LC
Carollia benkeithi	LC
Carollia brevicauda	LC
Carollia castanea	LC
Carollia manu	LC
Carollia monohernandezi	DD
Carollia perspicillata	LC
Carollia sowelli	LC
Carollia subrufa	LC
Carpitalpa arendsi	VU
Carpomys melanurus	DD
Carpomys phaeurus	LC
Carterodon sulcidens	DD
Caryomys eva	LC
Caryomys inez	LC
Casinycteris argynnis	LC
Casinycteris campomaanensis	DD
Castor canadensis	LC
Castor fiber	LC
Catagonus wagneri	EN
Catopuma badia	EN
Catopuma temminckii	NT
Cavia aperea	LC
Cavia fulgida	LC
Cavia intermedia	CR
Cavia magna	LC
Cavia patzelti	DD
Cavia tschudii	LC
Cebuella pygmaea	LC
Cebus aequatorialis	CR
Cebus albifrons	LC
Cebus brunneus	LC
Cebus castaneus	LC
Cebus cesarae	DD
Cebus cuscinus	NT
Cebus kaapori	CR
Cebus malitiosus	EN
Cebus versicolor	EN
Centronycteris centralis	LC
Centronycteris maximiliani	LC
Centurio senex	LC
Cephalophus adersi	VU
Cephalophus callipygus	LC
Cephalophus dorsalis	NT
Cephalophus harveyi	LC
Cephalophus jentinki	EN
