Aprosmictus erythropterus
Aprosmictus jonquillaceus
Aptenodytes forsteri
Aptenodytes patagonicus
Apteryx australis
Apteryx haastii
Apteryx mantelli
Apteryx owenii
Apteryx rowi
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus horus
Apus niansae
Apus nipalensis
Apus pacificus
Apus pallidus
Apus sladeniae
Apus unicolor
Aquila adalberti
Aquila africana
Aquila audax
Aquila chrysaetos
Aquila fasciata
Aquila gurneyi
Aquila heliaca
Aquila nipalensis
Aquila rapax
Aquila spilogaster
Aquila verreauxii
Ara ambiguus
Ara ararauna
Ara chloropterus
Ara glaucogularis
Ara macao
Ara militaris
Ara rubrogenys
Ara severus
Arachnothera affinis
Arachnothera chrysogenys
Arachnothera clarae
Arachnothera crassirostris
Arachnothera dilutior
Arachnothera flammifera
Arachnothera flavigaster
Arachnothera hypogrammica
Arachnothera juliae
Arachnothera longirostra
Arachnothera magna
Arachnothera modesta
Arachnothera robusta
Aramides axillaris
Aramides cajaneus
Aramides calopterus
Aramides mangle
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramidopsis plateni
Aramus guarauna
Aratinga auricapillus
Aratinga jandaya
Aratinga maculata
Aratinga nenday
Aratinga solstitialis
Aratinga weddellii
Arborophila ardens
Arborophila atrogularis
Arborophila brunneopectus
Arborophila cambodiana
Arborophila campbelli
Arborophila charltonii
Arborophila chloropus
Arborophila crudigularis
Arborophila davidi
Arborophila gingica
Arborophila graydoni
Arborophila hyperythra
Arborophila javanica
Arborophila mandellii
Arborophila orientalis
Arborophila rolli
Arborophila rubrirostris
Arborophila rufipectus
Arborophila rufogularis
Arborophila sumatrana
Arborophila tonkinensis
Arborophila torqueola
Arcanator orostruthus
Archboldia papuensis
Archilochus alexandri
Archilochus colubris
Ardea alba
Ardea brachyrhyncha
Ardea cinerea
Ardea cocoi
Ardea goliath
Ardea herodias
Ardea humbloti
Ardea insignis
Ardea intermedia
Ardea melanocephala
Ardea pacifica
Ardea plumifera
Ardea purpurea
Ardea sumatrana
Ardenna bulleri
Ardenna carneipes
Ardenna creatopus
Ardenna gravis
Ardenna grisea
Ardenna pacifica
Ardenna tenuirostris
Ardeola bacchus
Ardeola grayii
Ardeola idae
Ardeola ralloides
Ardeola rufiventris
Ardeola speciosa
Ardeotis arabs
Ardeotis australis
Ardeotis kori
Ardeotis nigriceps
Arenaria interpres
Arenaria melanocephala
Argusianus argus
Argya altirostris
Argya aylmeri
Argya caudata
Argya earlei
Argya fulva
Argya malcolmi
Argya rubiginosa
Argya squamiceps
Argya subrufa
Arizelocichla chlorigula
Arizelocichla fusciceps
Arizelocichla masukuensis
Arizelocichla milanjensis
Arizelocichla montana
Arizelocichla neumanni
Arizelocichla nigriceps
Arizelocichla striifacies
Arizelocichla tephrolaema
Arremon abeillei
Arremon assimilis
Arremon atricapillus
Arremon aurantiirostris
Arremon axillaris
Arremon basilicus
Arremon brunneinucha
Arremon castaneiceps
Arremon costaricensis
Arremon crassirostris
Arremon flavirostris
Arremon franciscanus
Arremon nigriceps
Arremon perijanus
Arremon phaeopleurus
Arremon phygas
Arremon schlegeli
Arremon semitorquatus
Arremon taciturnus
Arremon torquatus
Arremon virenticeps
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses insularis
Arses kaupi
Arses lorealis
Arses telescopthalmus
Artamella viridis
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
Artamus insignis
Artamus leucoryn
Artamus maximus
Artamus mentalis
Artamus minor
Artamus monachus
Artamus personatus
Artamus superciliosus
Artemisiospiza belli
Artemisiospiza nevadensis
Artisornis metopias
Artisornis moreaui
Artisornis sousae
Arundinax aedon
Arundinicola leucocephala
Asarcornis scutulata
Asemospiza fuliginosa
Asemospiza obscura
Ashbyia lovensis
Asio abyssinicus
Asio capensis
Asio clamator
Asio flammeus
Asio madagascariensis
Asio otus
Asio stygius
Aspatha gularis
Asthenes anthoides
Asthenes arequipae
Asthenes ayacuchensis
Asthenes baeri
Asthenes berlepschi
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes huancavelicae
Asthenes hudsoni
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes urubambensis
Asthenes usheri
Asthenes vilcabambae
Asthenes virgata
Asthenes wyatti
Astrapia mayeri
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Atalotriccus pilaris
Atelornis crossleyi
Atelornis pittoides
Athene brama
Athene cunicularia
Athene noctua
Athene superciliaris
Atimastillas flavicollis
Atimastillas flavigula
Atlantisia rogersi
Atlapetes albiceps
Atlapetes albinucha
Atlapetes albofrenatus
Atlapetes blancae
Atlapetes canigenis
Atlapetes citrinellus
Atlapetes crassus
Atlapetes flaviceps
Atlapetes forbesi
Atlapetes fulviceps
Atlapetes fuscoolivaceus
Atlapetes latinuchus
Atlapetes leucopis
Atlapetes leucopterus
Atlapetes melanocephalus
Atlapetes melanolaemus
Atlapetes melanopsis
Atlapetes meridae
Atlapetes nationi
Atlapetes nigrifrons
Atlapetes pallidiceps
Atlapetes pallidinucha
Atlapetes paynteri
Atlapetes personatus
Atlapetes pileatus
Atlapetes rufigenis
Atlapetes rufinucha
Atlapetes schistaceus
Atlapetes seebohmi
Atlapetes semirufus
Atlapetes taczanowskii
Atlapetes terborghi
Atlapetes tricolor
Atrichornis clamosus
Atrichornis rufescens
Attagis gayi
Attagis malouinus
Atthis ellioti
Atthis heloisa
Atticora fasciata
Atticora pileata
Atticora tibialis
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Augastes lumachella
Augastes scutatus
Aulacorhynchus albivitta
Aulacorhynchus atrogularis
Aulacorhynchus caeruleogularis
Aulacorhynchus calorhynchus
Aulacorhynchus coeruleicinctis
Aulacorhynchus cyanolaemus
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus huallagae
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Aulacorhynchus wagleri
Aulacorhynchus whitelianus
Auriparus flaviceps
Automolus infuscatus
Automolus lammi
Automolus leucophthalmus
Automolus melanopezus
Automolus ochrolaemus
Automolus paraensis
Automolus rufipileatus
Automolus subulatus
Automolus virgatus
Aviceda cuculoides
Aviceda jerdoni
Aviceda leuphotes
Aviceda madagascariensis
Aviceda subcristata
Avocettula recurvirostris
Aythya affinis
Aythya americana
Aythya australis
Aythya baeri
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya innotata
Aythya marila
Aythya novaeseelandiae
Aythya nyroca
Aythya valisineria
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus wollweberi
Baeopogon clamans
Baeopogon indicator
Balaeniceps rex
Balearica pavonina
Balearica regulorum
Bambusicola fytchii
Bambusicola sonorivox
Bambusicola thoracicus
Bangsia arcaei
Bangsia aureocincta
Bangsia edwardsi
Bangsia flavovirens
Bangsia melanochlamys
Bangsia rothschildi
Barnardius zonarius
Bartramia longicauda
Baryphthengus martii
Baryphthengus ruficapillus
Basileuterus auricapilla
Basileuterus belli
Basileuterus cabanisi
Basileuterus culicivorus
Basileuterus griseiceps
Basileuterus hypoleucus
Basileuterus ignotus
Basileuterus lachrymosus
Basileuterus melanogenys
Basileuterus rufifrons
Basileuterus trifasciatus
Basileuterus tristriatus
Basilinna leucotis
Basilinna xantusii
Basilornis celebensis
Basilornis corythaix
Basilornis galeatus
Batara cinerea
Bathmocercus cerviniventris
Bathmocercus rufus
Batis capensis
Batis crypta
Batis dimorpha
Batis diops
Batis erlangeri
Batis fratrum
Batis ituriensis
Batis margaritae
Batis minima
Batis minor
Batis minulla
Batis mixta
Batis molitor
Batis occulta
Batis orientalis
Batis perkeo
Batis poensis
Batis pririt
Batis reichenowi
Batis senegalensis
Batis soror
Batrachostomus auritus
Batrachostomus cornutus
Batrachostomus harterti
Batrachostomus hodgsoni
Batrachostomus javensis
Batrachostomus mixtus
Batrachostomus moniliger
Batrachostomus poliolophus
Batrachostomus septimus
Batrachostomus stellatus
Berenicornis comatus
Berlepschia rikeri
Bernieria madagascariensis
Bias musicus
Biatas nigropectus
Biziura lobata
Bleda canicapillus
Bleda eximius
Bleda notatus
Bleda syndactylus
Bleda ugandae
Blythipicus pyrrhotis
Blythipicus rubiginosus
Bocagia minuta
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Bolbopsittacus lunulatus
Bolborhynchus ferrugineifrons
Bolborhynchus lineola
Bolborhynchus orbygnesius
Bolemoreus frenatus
Bolemoreus hindwoodi
Bombycilla cedrorum
Bombycilla garrulus
Bombycilla japonica
Bonasa bonasia
Bonasa sewerzowi
Bonasa umbellus
Bostrychia bocagei
Bostrychia carunculata
Bostrychia hagedash
Bostrychia olivacea
Bostrychia rara
Botaurus lentiginosus
Botaurus pinnatus
Botaurus poiciloptilus
Botaurus stellaris
Brachycope anomala
Brachygalba albogularis
Brachygalba goeringi
Brachygalba lugubris
Brachygalba salmoni
Brachypodius atriceps
Brachypodius fuscoflavescens
Brachypodius priocephalus
Brachypteracias leptosomus
Brachypteryx cruralis
Brachypteryx erythrogyna
Brachypteryx floris
Brachypteryx goodfellowi
Brachypteryx hyperythra
Brachypteryx leucophris
Brachypteryx montana
Brachypteryx poliogyna
Brachypteryx saturata
Brachypteryx sinensis
Brachyramphus brevirostris
Brachyramphus marmoratus
Brachyramphus perdix
Bradornis boehmi
Bradornis comitatus
Bradornis fuliginosus
Bradornis mariquensis
Bradornis microrhynchus
Bradornis ussheri
Bradypterus alfredi
Bradypterus baboecala
Bradypterus bangwaensis
Bradypterus barratti
Bradypterus brunneus
Bradypterus carpalis
Bradypterus centralis
Bradypterus cinnamomeus
Bradypterus grandis
Bradypterus graueri
Bradypterus lopezi
Bradypterus sylvaticus
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta ruficollis
Branta sandvicensis
Brotogeris chiriri
Brotogeris chrysoptera
Brotogeris cyanoptera
Brotogeris jugularis
Brotogeris pyrrhoptera
Brotogeris sanctithomae
Brotogeris tirica
Brotogeris versicolurus
Bubalornis albirostris
Bubalornis niger
Bubo africanus
Bubo ascalaphus
Bubo bengalensis
Bubo blakistoni
Bubo bubo
Bubo capensis
Bubo cinerascens
Bubo coromandus
Bubo lacteus
Bubo leucostictus
Bubo magellanicus
Bubo nipalensis
Bubo philippensis
Bubo poensis
Bubo scandiacus
Bubo shelleyi
Bubo sumatranus
Bubo virginianus
Bubulcus ibis
Bucanetes githagineus
Bucanetes mongolicus
Buccanodon duchaillui
Bucco capensis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Buceros bicornis
Buceros hydrocorax
Buceros mindanensis
Buceros rhinoceros
Bucorvus abyssinicus
Bucorvus leadbeateri
Buettikoferella bivittata
Bugeranus carunculatus
Bulweria bulwerii
Bulweria fallax
Buphagus africanus
Buphagus erythrorynchus
Burhinus bistriatus
Burhinus capensis
Burhinus grallarius
Burhinus indicus
Burhinus oedicnemus
Burhinus senegalensis
Burhinus superciliaris
Burhinus vermiculatus
Busarellus nigricollis
Butastur indicus
Butastur liventer
Butastur rufipennis
Butastur teesa
Buteo albigula
Buteo albonotatus
Buteo augur
Buteo auguralis
Buteo brachypterus
Buteo brachyurus
Buteo buteo
Buteo galapagoensis
Buteo hemilasius
