species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Nasuella olivacea	0.000408743	0.000297927	0.000762636	0.180000000
Neofelis diardi	0.005138411	0.000017708	0.020248217	1.000000000
Neofelis nebulosa	0.006525479	0.000421514	0.029872085	1.000000000
Neomonachus schauinslandi	0.017519859	0.000068599	0.070143595	1.000000000
Neophoca cinerea	0.022999539	0.000025699	0.082659006	1.000000000
Neovison vison	0.000101295	0.000095704	0.000095704	0.000000000
Nyctereutes procyonoides	0.000126491	0.000065538	0.000306775	0.000000000
Odobenus rosmarus	0.007736350	0.000156892	0.025313115	0.990000000
Ommatophoca rossii	0.000073141	0.000015669	0.000138973	0.000000000
Otaria byronia	0.000126491	0.000076346	0.000383680	0.000000000
Otocolobus manul	0.007056120	0.000130788	0.000579105	0.210000000
Otocyon megalotis	0.000119062	0.000066732	0.000318112	0.000000000
Pagophilus groenlandicus	0.000083024	0.000024676	0.000334292	0.010000000
Paguma larvata	0.000070796	0.000024794	0.000135377	0.000000000
Panthera leo	0.004767759	0.000091965	0.019397730	1.000000000
Panthera leo	0.004672513	0.000230140	0.016034102	0.980000000
Panthera onca	0.004834035	0.000053690	0.000774927	0.190000000
Panthera pardus	0.009090094	0.000009101	0.014536779	1.000000000
Panthera tigris	0.028258639	0.000017975	0.109679484	1.000000000
Panthera uncia	0.004026119	0.000008972	0.013462194	0.990000000
Paracynictis selousi	0.000238000	0.000195852	0.000283676	0.000000000
Paradoxurus hermaphroditus	0.000196363	0.000136435	0.000326675	0.000000000
Paradoxurus jerdoni	0.000108404	0.000107471	0.000107471	0.000000000
Paradoxurus zeylonensis	0.000150482	0.000082635	0.000278636	0.000000000
Parahyaena brunnea	0.000172159	0.000069336	0.000907754	0.210000000
Pardofelis marmorata	0.000852694	0.000212026	0.001004257	0.200000000
Phoca largha	0.000076729	0.000044617	0.000274363	0.000000000
Phoca vitulina	0.000077189	0.000013291	0.000259583	0.000000000
Phocarctos hookeri	0.015229014	0.000071770	0.046328202	1.000000000
Poecilogale albinucha	0.000088892	0.000009315	0.000267185	0.000000000
Poiana leightoni	0.012319341	0.000010700	0.028871654	1.000000000
Poiana richardsonii	0.000255416	0.000182236	0.000444516	0.000000000
Potos flavus	0.000166811	0.000134700	0.000401575	0.000000000
Prionailurus bengalensis	0.000191019	0.000102510	0.000327965	0.000000000
Prionailurus planiceps	0.031527687	0.000258363	0.116174585	1.000000000
Prionailurus rubiginosus	0.000558738	0.000222466	0.000784756	0.120000000
Prionailurus viverrinus	0.004782765	0.000418269	0.018570535	0.980000000
Prionodon linsang	0.000075087	0.000039093	0.000101862	0.000000000
Prionodon pardicolor	0.000233770	0.000186463	0.000321551	0.000000000
Procyon cancrivorus	0.000115060	0.000045267	0.000289625	0.000000000
Procyon lotor	0.000284069	0.000232433	0.000342791	0.000000000
Procyon pygmaeus	0.129799995	0.000541399	0.566820800	1.000000000
Proteles cristata	0.000169820	0.000093578	0.000363245	0.000000000
Pteronura brasiliensis	0.039421677	0.000174804	0.167701482	1.000000000
Puma concolor	0.000059741	0.000039313	0.000359670	0.000000000
Pusa caspica	0.015187166	0.000042743	0.059458902	1.000000000
Pusa hispida	0.000144086	0.000092399	0.000286277	0.000000000
Pusa sibirica	0.000066886	0.000011397	0.000418050	0.000000000
Rhynchogale melleri	0.000260674	0.000173863	0.000407026	0.010000000
Salanoia concolor	0.004715249	0.000191419	0.013233691	1.000000000
Speothos venaticus	0.000261593	0.000161512	0.000528517	0.150000000
Spilogale angustifrons	0.000048209	0.000004551	0.000109498	0.000000000
Spilogale gracilis	0.000161161	0.000099645	0.000342000	0.000000000
Spilogale putorius	0.004287537	0.000066240	0.015779785	1.000000000
Spilogale pygmaea	0.006532594	0.000174179	0.022689754	0.990000000
Suricata suricatta	0.000040955	0.000008625	0.000041975	0.000000000
Taxidea taxus	0.000070231	0.000018548	0.000265454	0.000000000
Tremarctos ornatus	0.006308041	0.000045378	0.020880226	0.990000000
Urocyon cinereoargenteus	0.000199782	0.000134952	0.000334138	0.000000000
Urocyon littoralis	0.000242709	0.000098446	0.000649567	0.200000000
Ursus americanus	0.000037654	0.000012289	0.000054283	0.000000000
Ursus arctos	0.000044613	0.000010780	0.000089197	0.000000000
Ursus maritimus	0.011736305	0.000107325	0.026564332	1.000000000
Ursus thibetanus	0.007150548	0.000023823	0.025920276	0.990000000
Viverra civettina	0.118865282	0.000304692	0.551460385	1.000000000
Viverra megaspila	0.034107179	0.000035147	0.157523871	1.000000000
Viverra tangalunga	0.000467386	0.000434121	0.000549996	0.000000000
Viverra zibetha	0.000141540	0.000088785	0.000238609	0.000000000
Viverricula indica	0.000110191	0.000067999	0.000282035	0.000000000
Vormela peregusna	0.004827198	0.000012672	0.014444827	0.990000000
Vulpes bengalensis	0.000149698	0.000076869	0.000282526	0.000000000
Vulpes cana	0.000245030	0.000214326	0.000315389	0.000000000
Vulpes chama	0.000057550	0.000026629	0.000286579	0.000000000
Vulpes corsac	0.000151162	0.000106137	0.000252683	0.000000000
Vulpes ferrilata	0.000042041	0.000012432	0.000272342	0.000000000
Vulpes lagopus	0.000203803	0.000155726	0.000340890	0.000000000
Vulpes macrotis	0.000112223	0.000053146	0.000401684	0.000000000
Vulpes pallida	0.000364629	0.000299075	0.000519730	0.000000000
Vulpes rueppellii	0.000080953	0.000038030	0.000265068	0.000000000
Vulpes velox	0.000167237	0.000086962	0.000355060	0.000000000
Vulpes vulpes	0.000328676	0.000264712	0.000406625	0.000000000
Vulpes zerda	0.000274221	0.000238416	0.000415373	0.000000000
Zalophus californianus	0.000199971	0.000140946	0.000413717	0.000000000
Zalophus wollebaeki	0.021941221	0.000091429	0.105825980	1.000000000
