species	yearly_extinction_rate_mean	yearly_extinction_rate_lower	yearly_extinction_rate_upper	extinct_by_2100AD_mean	extinct_by_2100AD_lower	extinct_by_2100AD_upper	extinct_by_2100AD_sim_frequency
Neovison vison	0.000371157	0.000126698	0.000570074	0.029572768	0.010210676	0.045138648	0.030000000
Nyctereutes procyonoides	0.000160384	0.000014617	0.000355354	0.012876051	0.001183304	0.028378314	0.010000000
Odobenus rosmarus	0.001155130	0.000948123	0.001465929	0.089307846	0.073956822	0.112038947	0.090000000
Ommatophoca rossii	0.000103504	0.000000669	0.000237888	0.008330424	0.000054204	0.019086683	0.000000000
Otaria byronia	0.000149776	0.000000659	0.000346832	0.012031605	0.001664992	0.029312149	0.010000000
Otocolobus manul	0.001570724	0.001294517	0.001849037	0.119497085	0.099606841	0.139215121	0.120000000
Otocyon megalotis	0.000242329	0.000011619	0.000449571	0.019384844	0.000940710	0.035768105	0.020000000
Pagophilus groenlandicus	0.000264393	0.000070799	0.000486674	0.021148863	0.005718502	0.038662906	0.020000000
Paguma larvata	0.000087065	0.000000668	0.000200415	0.007014020	0.000054121	0.016104160	0.000000000
Panthera leo	0.001573757	0.001353156	0.001803525	0.119723279	0.103879020	0.136030174	0.120000000
Panthera leo	0.001304077	0.001033999	0.001586993	0.100239881	0.080382276	0.120717054	0.100000000
Panthera onca	0.001048757	0.000858404	0.001295525	0.081430930	0.067196346	0.099680513	0.080000000
Panthera pardus	0.001708427	0.001444082	0.001944084	0.129277136	0.110463910	0.145829170	0.130000000
Panthera tigris	0.003078775	0.002827588	0.003426501	0.220954613	0.204956944	0.242720753	0.220000000
Panthera uncia	0.000633670	0.000395227	0.000893631	0.049985178	0.031512543	0.069856593	0.050000000
Paracynictis selousi	0.000382481	0.000139086	0.000627242	0.030457432	0.011203536	0.049552664	0.030000000
Paradoxurus hermaphroditus	0.000099685	0.000000115	0.000235427	0.008023380	0.000009352	0.018891092	0.000000000
Paradoxurus jerdoni	0.000097876	0.000000407	0.000225486	0.007881167	0.000032965	0.018100644	0.000000000
Paradoxurus zeylonensis	0.000386956	0.000160917	0.000660467	0.030802736	0.012950710	0.052108767	0.030000000
Parahyaena brunnea	0.000625533	0.000405894	0.000892487	0.049367667	0.032349280	0.069770271	0.050000000
Pardofelis marmorata	0.001023839	0.000702551	0.001228717	0.079568214	0.055336630	0.094789082	0.080000000
Phoca largha	0.000134204	0.000010907	0.000282792	0.010791841	0.000883105	0.022648963	0.010000000
Phoca vitulina	0.000254563	0.000028742	0.000445635	0.020368851	0.002325443	0.035460458	0.020000000
Phocarctos hookeri	0.003748131	0.003495062	0.004000274	0.262212933	0.246929075	0.277235653	0.260000000
Poecilogale albinucha	0.000095603	0.000000978	0.000212838	0.007698181	0.000079201	0.017093942	0.000000000
Poiana leightoni	0.001883221	0.001618817	0.002187966	0.141525221	0.122984338	0.162571515	0.140000000
Poiana richardsonii	0.000165319	0.000000897	0.000326190	0.013274866	0.000072634	0.026079589	0.010000000
Potos flavus	0.000159234	0.000001808	0.000328031	0.012784880	0.000146411	0.026224887	0.010000000
Prionailurus bengalensis	0.000507785	0.000219415	0.000738638	0.040250154	0.017617528	0.058095879	0.040000000
Prionailurus planiceps	0.006097829	0.005677057	0.006434123	0.390618926	0.369443079	0.407170116	0.390000000
Prionailurus rubiginosus	0.000887366	0.000621580	0.001065133	0.069338131	0.049116384	0.082700977	0.070000000
Prionailurus viverrinus	0.002604329	0.002309917	0.002850070	0.190350700	0.170821413	0.206407607	0.190000000
Prionodon linsang	0.000152608	0.000000384	0.000314886	0.012254968	0.000031130	0.025187133	0.010000000
Prionodon pardicolor	0.000171888	0.000010672	0.000328482	0.013797279	0.000864072	0.026260470	0.010000000
Procyon cancrivorus	0.000358262	0.000107738	0.000571886	0.028558904	0.008689275	0.045278876	0.030000000
Procyon lotor	0.000107658	0.000003761	0.000287080	0.008660447	0.000304557	0.022988447	0.000000000
Procyon pygmaeus	0.023262334	0.021541801	0.025134149	0.850915204	0.828634090	0.872786419	0.850000000
Proteles cristata	0.000105142	0.000000947	0.000214444	0.008467038	0.000076689	0.017221800	0.000000000
Pteronura brasiliensis	0.005471617	0.005160618	0.005791395	0.358723231	0.342356564	0.375289324	0.360000000
Puma concolor	0.000155844	0.000005883	0.000320173	0.012516849	0.000476434	0.025604630	0.010000000
Pusa caspica	0.001700533	0.001460361	0.001964426	0.128721820	0.111637746	0.147238177	0.130000000
Pusa hispida	0.000145862	0.000007787	0.000320836	0.011717735	0.000630532	0.025656966	0.010000000
Pusa sibirica	0.000097959	0.000000527	0.000235798	0.007886548	0.000042672	0.018920628	0.000000000
Rhynchogale melleri	0.000377144	0.000125603	0.000582429	0.030041970	0.010122893	0.046094355	0.030000000
Salanoia concolor	0.003245356	0.003019200	0.003559701	0.231434662	0.217236836	0.250875584	0.230000000
Speothos venaticus	0.001459867	0.001197287	0.001666698	0.111553449	0.092478830	0.126384687	0.110000000
