species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Panthera pardus	0.013133421	0.000093578	0.060176370	1.000000000
Panthera tigris	0.032641200	0.000174804	0.146403382	0.990000000
Panthera uncia	0.017179714	0.000039313	0.060892811	1.000000000
Paracynictis selousi	0.003767726	0.000042743	0.014091251	1.000000000
Paradoxurus hermaphroditus	0.004536566	0.000083089	0.013262800	1.000000000
Paradoxurus jerdoni	0.005521262	0.000237377	0.021414755	1.000000000
Paradoxurus zeylonensis	0.004164337	0.000173863	0.012707750	1.000000000
Parahyaena brunnea	0.007420440	0.000191419	0.029056421	1.000000000
Pardofelis marmorata	0.009497323	0.000161512	0.037852369	1.000000000
Phoca largha	0.003807914	0.000040309	0.010990175	1.000000000
Phoca vitulina	0.003605343	0.000099645	0.012354526	1.000000000
Phocarctos hookeri	0.037981068	0.000066240	0.181269513	1.000000000
Poecilogale albinucha	0.005001505	0.000174179	0.016211660	1.000000000
Poiana leightoni	0.017864881	0.000008625	0.051791481	1.000000000
Poiana richardsonii	0.005044968	0.000018548	0.017058454	1.000000000
Potos flavus	0.003118110	0.000045378	0.011393006	1.000000000
Prionailurus bengalensis	0.004833405	0.000134952	0.012796764	1.000000000
Prionailurus planiceps	0.035334826	0.000098446	0.155265347	1.000000000
Prionailurus rubiginosus	0.015945147	0.000012289	0.053303539	1.000000000
Prionailurus viverrinus	0.023074568	0.000010780	0.097813542	1.000000000
Prionodon linsang	0.005614242	0.000107325	0.015292514	1.000000000
Prionodon pardicolor	0.004874358	0.000023823	0.015483233	1.000000000
Procyon cancrivorus	0.004117898	0.000009780	0.015042221	1.000000000
Procyon lotor	0.003682747	0.000035282	0.012782960	1.000000000
Procyon pygmaeus	0.115541024	0.000434121	0.442635367	1.000000000
Proteles cristata	0.004296503	0.000088785	0.015677854	1.000000000
Pteronura brasiliensis	0.038864340	0.000067999	0.151259294	1.000000000
Puma concolor	0.004612176	0.000012672	0.016310293	1.000000000
Pusa caspica	0.012785505	0.000076869	0.050652929	1.000000000
Pusa hispida	0.003591120	0.000214326	0.013191583	1.000000000
Pusa sibirica	0.003191511	0.000026629	0.012114706	1.000000000
Rhynchogale melleri	0.006334808	0.000106137	0.022777545	1.000000000
Salanoia concolor	0.019592687	0.000012432	0.077563611	1.000000000
Speothos venaticus	0.012555733	0.000155726	0.046947976	1.000000000
Spilogale angustifrons	0.004084460	0.000053146	0.012986185	1.000000000
Spilogale gracilis	0.005537505	0.000299075	0.019536618	1.000000000
Spilogale putorius	0.018109512	0.000038030	0.076728448	1.000000000
Spilogale pygmaea	0.025721817	0.000086962	0.090040900	1.000000000
Suricata suricatta	0.005127194	0.000264712	0.019161273	1.000000000
Taxidea taxus	0.003899750	0.000072764	0.014708531	1.000000000
Tremarctos ornatus	0.011722576	0.000140946	0.029065025	1.000000000
Urocyon cinereoargenteus	0.005291467	0.000091429	0.017190977	1.000000000
Urocyon littoralis	0.009645854	0.000093525	0.029431673	1.000000000
Ursus americanus	0.004449230	0.000052751	0.009626681	1.000000000
Ursus arctos	0.003071837	0.000051379	0.010591977	1.000000000
Ursus maritimus	0.012396087	0.000129353	0.047943705	0.990000000
Ursus thibetanus	0.012812482	0.000055229	0.050987830	1.000000000
Viverra civettina	0.102445454	0.000106550	0.492252419	1.000000000
Viverra megaspila	0.022343109	0.000044833	0.097553582	1.000000000
Viverra tangalunga	0.004340725	0.000021711	0.014309831	1.000000000
Viverra zibetha	0.003930940	0.000036410	0.014151454	1.000000000
Viverricula indica	0.004728569	0.000110718	0.015811642	1.000000000
Vormela peregusna	0.017235527	0.000156757	0.065118282	1.000000000
Vulpes bengalensis	0.005460988	0.000201798	0.019990953	1.000000000
Vulpes cana	0.005343900	0.000070941	0.019087112	1.000000000
Vulpes chama	0.004735600	0.000036020	0.017280805	1.000000000
Vulpes corsac	0.004983719	0.000119306	0.014551755	1.000000000
Vulpes ferrilata	0.004606089	0.000045162	0.015200275	1.000000000
Vulpes lagopus	0.004821775	0.000173053	0.017382869	1.000000000
Vulpes macrotis	0.003822172	0.000024899	0.012490820	1.000000000
Vulpes pallida	0.005299067	0.000466869	0.018130740	1.000000000
Vulpes rueppellii	0.004940126	0.000153062	0.017866270	1.000000000
Vulpes velox	0.003921179	0.000191608	0.013947641	1.000000000
Vulpes vulpes	0.003607273	0.000047242	0.013309288	1.000000000
Vulpes zerda	0.004778248	0.000020967	0.016439808	1.000000000
Zalophus californianus	0.004183868	0.000073825	0.017304962	1.000000000
Zalophus wollebaeki	0.027531114	0.000092641	0.110249063	1.000000000
