	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
414	Berardius bairdii								DD													
415	Berylmys berdmorei								LC								LC					
416	Berylmys bowersi								LC								LC					
417	Berylmys mackenziei								DD								DD					
418	Berylmys manipulus								DD								DD					
419	Bettongia gaimardi								NT								NT					
420	Bettongia lesueur								NT											NT		
421	Bettongia penicillata								CR								CR					
422	Bettongia tropica								EN								EN					
423	Bibimys chacoensis								LC								LC					
424	Bibimys labiosus								LC								LC					
425	Bibimys torresi								NT										VU			
426	Bison bison								NT									NT				
427	Bison bonasus								VU													
428	Biswamoyopterus biswasi								CR								CR					
429	Biswamoyopterus laoensis																	DD				
430	Blanfordimys afghanus								LC								LC					
431	Blanfordimys bucharensis								LC								LC					
432	Blarina brevicauda								LC								LC					
433	Blarina carolinensis								LC								LC					
434	Blarina hylophaga								LC								LC					
435	Blarinella griselda								LC								LC					
436	Blarinella quadraticauda								NT								NT					
437	Blarinella wardi								LC								LC					
438	Blarinomys breviceps								LC								LC					
439	Blastocerus dichotomus		VU						VU								VU					
440	Bos gaurus								VU								VU					
441	Bos javanicus								EN								EN					
442	Bos mutus								VU								VU					
443	Boselaphus tragocamelus			LC					LC								LC					
444	Brachiones przewalskii								LC								LC					
445	Brachylagus idahoensis								LC								LC					
446	Brachyphylla cavernarum								LC											LC		
447	Brachyphylla nana								LC											LC		
448	Brachytarsomys albicauda								LC								LC					
449	Brachytarsomys villosa								EN								VU					
450	Brachyteles arachnoides			EN					EN											CR		
451	Brachyteles hypoxanthus			CR					CR											CR		
452	Brachyuromys betsileoensis								LC								LC					
453	Brachyuromys ramirohitra								LC								LC					
454	Bradypus pygmaeus						CR		CR			CR			CR							
455	Bradypus torquatus						EN		EN			VU			VU							
456	Bradypus tridactylus						LC		LC			LC			LC							
457	Bradypus variegatus						LC		LC			LC			LC							
458	Brassomys albidens								DD								DD	DD				
459	Brucepattersonius griserufescens																	DD				
460	Brucepattersonius guarani								DD											DD		
461	Brucepattersonius igniventris								DD											DD		
462	Brucepattersonius iheringi								LC								LC					
463	Brucepattersonius misionensis								DD											DD		
464	Brucepattersonius paradisus								DD											DD		
465	Brucepattersonius soricinus								DD											DD		
466	Bubalus arnee								EN											EN		
467	Bubalus depressicornis							EN	EN								EN					
468	Bubalus mindorensis							CR	CR					CR			CR					
469	Bubalus quarlesi							EN	EN								EN					
470	Budorcas taxicolor								VU													
471	Bullimus bagobus								LC								LC					
472	Bullimus gamay								VU									VU				
473	Bullimus luzonicus								LC								LC					
474	Bunolagus monticularis			CR					CR					CR						CR		
475	Bunomys andrewsi								LC								LC					
476	Bunomys chrysocomus								LC								LC					
477	Bunomys coelestis								CR										EN			
478	Bunomys fratrorum								VU								VU					
479	Bunomys karokophilus																			DD		
480	Bunomys penitus								NT											LC		
481	Bunomys prolatus								EN								EN					
482	Bunomys torajae																			DD		
483	Burramys parvus								CR													
484	Cabassous centralis						DD		DD		DD				DD							
485	Cabassous chacoensis						NT		NT		NT				NT							
486	Cabassous tatouay						LC		LC		LC				LC							
487	Cabassous unicinctus						LC		LC		LC				LC							
488	Cacajao ayresi								VU							VU						
489	Cacajao calvus			NT					VU													
490	Cacajao hosomi								VU													
491	Cacajao melanocephalus																		LC			
492	Caenolestes caniventer								NT							NT						
493	Caenolestes condorensis								VU							VU						
494	Caenolestes convelatus								VU								VU					
495	Caenolestes fuliginosus								LC								LC					
496	Caenolestes sangay																VU					
497	Calcochloris obtusirostris						LC		LC							LC						
498	Calcochloris tytonis						DD		DD							DD						
499	Callibella humilis			LC					VU							VU			LC			
500	Callicebus barbarabrownae			CR					CR													
501	Callicebus coimbrai			CR					EN													
502	Callicebus melanochir			VU					VU													
503	Callicebus nigrifrons			NT					NT													
504	Callicebus personatus			VU					VU													
505	Callimico goeldii			NT					VU													
506	Callistomys pictus								EN								EN					
507	Callithrix aurita								VU											EN	EN	
508	Callithrix flaviceps			EN					EN													
509	Callithrix geoffroyi								LC										LC			
510	Callithrix jacchus			LC					LC										LC			
511	Callithrix kuhlii			LC					NT											VU		
512	Callithrix penicillata			LC					LC										LC			
513	Callorhinus ursinus								VU							VU						
514	Callosciurus adamsi								VU								NT					
515	Callosciurus albescens								DD								DD					
516	Callosciurus baluensis								LC								LC					
517	Callosciurus caniceps								LC								LC					
518	Callosciurus erythraeus								LC									LC				
519	Callosciurus finlaysonii								LC									LC				
520	Callosciurus inornatus								LC								LC					
521	Callosciurus melanogaster								VU								VU					
522	Callosciurus nigrovittatus								NT											LC		
523	Callosciurus notatus								LC								LC					
524	Callosciurus orestes								LC								LC					
525	Callosciurus phayrei								LC								LC					
526	Callosciurus prevostii								LC								LC					
527	Callosciurus pygerythrus								LC								LC					
528	Callosciurus quinquestriatus								NT											LC		
529	Callospermophilus lateralis								LC								LC					
530	Callospermophilus madrensis								NT								NT					
531	Callospermophilus saturatus								LC								LC					
532	Calomys boliviae								LC								LC					
533	Calomys callidus								LC								LC					
534	Calomys callosus								LC								LC					
535	Calomys expulsus								LC								LC					
536	Calomys fecundus								LC									LC				
537	Calomys hummelincki								VU		LC						LC					
538	Calomys laucha								LC								LC					
539	Calomys lepidus								LC								LC					
540	Calomys musculinus								LC								LC					
541	Calomys sorellus								LC								LC					
542	Calomys tener								LC								LC					
543	Calomys tocantinsi								LC									LC				
544	Calomys venustus								LC								LC					
545	Calomyscus bailwardi								LC								LC					
546	Calomyscus baluchi								LC								LC					
547	Calomyscus elburzensis								LC								LC					
548	Calomyscus grandis								DD								DD					
549	Calomyscus hotsoni								LC								LC					
550	Calomyscus mystax								LC								LC					
551	Calomyscus tsolovi								DD								DD					
552	Calomyscus urartensis								LC								LC					
553	Caluromys derbianus								LC							LC						
554	Caluromys lanatus								LC							LC						
555	Caluromys philander								LC							LC						
556	Caluromysiops irrupta								LC							LC						
557	Calyptophractus retusus						NT		NT		DD				DD							
558	Camelus ferus		CR					CR	CR													
559	Canis adustus				LC				LC						LC							
560	Canis aureus																		LC			
561	Canis latrans				LC				LC										LC			
562	Canis lupaster																			LC		
563	Canis lupus				LC				LC		LC								LC			
564	Canis mesomelas				LC				LC						LC							
565	Canis rufus				CR				CR										CR			
566	Canis simensis				EN				EN			EN										
567	Cannomys badius								LC								LC					
568	Cansumys canus								LC								LC					
569	Caperea marginata								DD										LC			
570	Capra aegagrus								VU													
571	Capra caucasica								EN													
572	Capra cylindricornis								NT													
573	Capra falconeri								EN							NT						
574	Capra ibex								LC													
575	Capra nubiana								VU													
576	Capra pyrenaica								LC													
577	Capra sibirica								LC													
578	Capra walie								EN													
579	Capreolus capreolus								LC								LC					
580	Capreolus pygargus								LC								LC					
581	Capricornis crispus								LC													
582	Capricornis milneedwardsii								NT													
583	Capricornis rubidus								NT													
584	Capricornis sumatraensis								VU													
585	Capricornis swinhoei								LC													
586	Capricornis thar								NT													
587	Caprolagus hispidus								EN											EN		
588	Capromys pilorides								LC													
589	Caracal aurata		VU						NT							VU						
590	Caracal caracal		LC						LC								LC					
591	Cardiocranius paradoxus								DD								DD					
592	Cardioderma cor				LC				LC									LC				
593	Carollia benkeithi																			LC		
594	Carollia brevicauda								LC								LC					
595	Carollia castanea																LC					
596	Carollia manu								LC							LC						
597	Carollia monohernandezi																			DD		
598	Carollia perspicillata								LC							LC						
599	Carollia sowelli								LC							LC						
600	Carollia subrufa								LC							LC						
601	Carpitalpa arendsi						VU		VU							VU						
602	Carpomys melanurus								DD								DD					
603	Carpomys phaeurus								LC								LC					
604	Carterodon sulcidens								DD								DD					
605	Caryomys eva								LC								LC					
606	Caryomys inez								LC								LC					
607	Casinycteris argynnis				NT				LC								LC					
608	Casinycteris campomaanensis																	DD				
609	Castor canadensis								LC			LC					LC					
610	Castor fiber		NT						LC								LC					
611	Catagonus wagneri								EN						EN	EN						
612	Catopuma badia		EN						EN								EN					
613	Catopuma temminckii		VU						NT							NT						
614	Cavia aperea																LC					
615	Cavia fulgida								LC								LC					
616	Cavia intermedia								CR								CR					
617	Cavia magna								LC								LC					
618	Cavia patzelti																DD					
619	Cavia tschudii								LC								LC					
620	Cebuella pygmaea			LC					LC											VU		
621	Cebus aequatorialis			NT					CR							CR						
622	Cebus albifrons			LC					LC							LC						
623	Cebus brunneus			LC					LC							LC						
624	Cebus castaneus			LC															LC			
625	Cebus cesarae			NT					DD							DD						
626	Cebus cuscinus			LC					NT							NT				NT	NT	
627	Cebus kaapori								CR											CR	CR	
628	Cebus leucocephalus																			VU		
629	Cebus malitiosus			NT					EN							EN						
630	Cebus trinitatis								CR													
631	Cebus versicolor								EN							EN						
632	Centronycteris centralis								LC							LC						
633	Centronycteris maximiliani								LC								LC					
634	Centurio senex								LC								LC					
635	Cephalophus adersi				CR				CR									VU				
636	Cephalophus callipygus								LC								LC					
637	Cephalophus dorsalis								LC								NT				NT	
638	Cephalophus harveyi								LC								LC					
639	Cephalophus jentinki								EN								EN					
640	Cephalophus leucogaster								LC								NT					
